DO=10.1257/app.*
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Mechanisms and Impacts of Gender Peer Effects at School","Lavy, Victor; Schlosser, Analia","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","APR 2011","2011","3","2","","","","1","33","","10.1257/app.3.2.1","","","35","8.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","15","13"
"The Effect of Alcohol Consumption on Mortality: Regression Discontinuity Evidence from the Minimum Drinking Age","Carpenter, Christopher; Dobkin, Carlos","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2009","2009","1","1","","","","164","182","","10.1257/app.1.1.164","","","35","5.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","7","5","10","9"
"Fixing Market Failures or Fixing Elections? Agricultural Credit in India","Cole, Shawn","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2009","2009","1","1","","","","219","250","","10.1257/app.1.1.219","","","35","5.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","7","9","12","3"
"Consumption Responses to In-Kind Transfers: Evidence from the Introduction of the Food Stamp Program","Hoynes, Hilary W.; Schanzenbach, Diane Whitmore","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","OCT 2009","2009","1","4","","","","109","139","","10.1257/app.1.4.109","","","33","5.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","9","8","5"
"Economic Shocks and Civil Conflict: A Comment","Ciccone, Antonio","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","OCT 2011","2011","3","4","","","","215","227","","10.1257/app.3.4.215","","","31","7.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","9","10"
"Do Teenagers Respond to HIV Risk Information? Evidence from a Field Experiment in Kenya","Dupas, Pascaline","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2011","2011","3","1","","","","1","34","","10.1257/app.3.1.1","","","31","7.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","13","4","8"
"An Empirical Analysis of the Gender Gap in Mathematics","Fryer, Roland G., Jr.; Levitt, Steven D.","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","APR 2010","2010","2","2","","","","210","240","","10.1257/app.2.2.210","","","31","6.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","13","8"
"Why Have College Completion Rates Declined? An Analysis of Changing Student Preparation and Collegiate Resources","Bound, John; Lovenheim, Michael F.; Turner, Sarah","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JUL 2010","2010","2","3","","","","129","157","","10.1257/app.2.3.129","","","30","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","9","11"
"Externalities in the Classroom: How Children Exposed to Domestic Violence Affect Everyone's Kids","Carrell, Scott E.; Hoekstra, Mark L.","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2010","2010","2","1","","","","211","228","","10.1257/app.2.1.211","","","29","5.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","7","8","9"
"Peer Effects in the Workplace: Evidence from Random Groupings in Professional Golf Tournaments","Guryan, Jonathan; Kroft, Kory; Notowidigdo, Matthew J.","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","OCT 2009","2009","1","4","","","","34","68","","10.1257/app.1.4.34","","","29","4.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","7","7","5","6"
"Are High-Quality Schools Enough to Increase Achievement Among the Poor? Evidence from the Harlem Children's Zone","Dobbie, Will; Fryer, Roland G., Jr.","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JUL 2011","2011","3","3","","","","158","187","","10.1257/app.3.3.158","","","28","7.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","12","6"
"Traffic Congestion and Infant Health: Evidence from E-ZPass","Currie, Janet; Walker, Reed","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2011","2011","3","1","","","","65","90","","10.1257/app.3.1.65","","","28","7.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","11","6"
"The Labor Market Returns to Cognitive and Noncognitive Ability: Evidence from the Swedish Enlistment","Lindqvist, Erik; Vestman, Roine","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2011","2011","3","1","","","","101","128","","10.1257/app.3.1.101","","","28","7.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","9","8"
"Teacher Incentives","Glewwe, Paul; Ilias, Nauman; Kremer, Michael","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JUL 2010","2010","2","3","","","","205","227","","10.1257/app.2.3.205","","","28","5.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","14","4"
"Are Women More Credit Constrained? Experimental Evidence on Gender and Microenterprise Returns","de Mel, Suresh; McKenzie, David; Woodruff, Christopher","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JUL 2009","2009","1","3","","","","1","32","","10.1257/app.1.3.1","","","27","4.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","6","7","9"
"Health Capital and the Prenatal Environment: The Effect of Ramadan Observance During Pregnancy","Almond, Douglas; Mazumder, Bhashkar","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","OCT 2011","2011","3","4","","","","56","85","","10.1257/app.3.4.56","","","26","6.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","12","8"
"Labor Supply Responses to Large Social Transfers: Longitudinal Evidence from South Africa","Ardington, Cally; Case, Anne; Hosegood, Victoria","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2009","2009","1","1","","","","22","48","","10.1257/app.1.1.22","","","26","4.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","4","7","9"
"Sorting in Experiments with Application to Social Preferences","Lazear, Edward P.; Malmendier, Ulrike; Weber, Roberto A.","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2012","2012","4","1","","","","136","163","","10.1257/app.4.1.136","","","25","8.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","17","3"
"Malaria Eradication and Educational Attainment: Evidence from Paraguay and Sri Lanka","Lucas, Adrienne M.","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","APR 2010","2010","2","2","","","","46","71","","10.1257/app.2.2.46","","","25","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","6","10","5"
"Biological Gender Differences, Absenteeism, and the Earnings Gap","Ichino, Andrea; Moretti, Enrico","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2009","2009","1","1","","","","183","218","","10.1257/app.1.1.183","","","25","4.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","7","9","2"
"Promoting Healthy Choices: Information versus Convenience","Wisdom, Jessica; Downs, Julie S.; Loewenstein, George","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","APR 2010","2010","2","2","","","","164","178","","10.1257/app.2.2.164","","","24","4.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","7","5","6"
"What Determines Giving to Hurricane Katrina Victims? Experimental Evidence on Racial Group Loyalty","Fong, Christina M.; Luttmer, Erzo F. P.","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","APR 2009","2009","1","2","","","","64","87","","10.1257/app.1.2.64","","","24","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","4","7","8","2"
"Transactional Sex as a Response to Risk in Western Kenya","Robinson, Jonathan; Yeh, Ethan","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2011","2011","3","1","","","","35","64","","10.1257/app.3.1.35","","","23","5.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","12","5","3"
"Are Restaurants Really Supersizing America?","Anderson, Michael L.; Matsa, David A.","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2011","2011","3","1","","","","152","188","","10.1257/app.3.1.152","","","22","5.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","5","7"
"Parents' Incomes and Children's Outcomes: A Quasi-Experiment Using Transfer Payments from Casino Profits","Akee, Randall K. Q.; Copeland, William E.; Keeler, Gordon; Angold, Adrian; Costello, E. Jane","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2010","2010","2","1","","","","86","115","","10.1057/app.2.1.86","","","22","4.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","6","6","3"
