"institution_display_name","institution_id","institution_ror","institution_country_code"
"Acorn","https://openalex.org/I4210118989","https://ror.org/030q7x253","US"
"Action Against Hunger","https://openalex.org/I97729445","https://ror.org/01ndqne76","FR"
"Active Medicine (United Kingdom)","https://openalex.org/I4210087229","https://ror.org/004z3ar85","GB"
"Adam Smith Institute","https://openalex.org/I65644108","https://ror.org/031tkkf47","GB"
"Addenbrooke's Hospital","https://openalex.org/I4210156194","https://ror.org/055vbxf86","GB"
"Addis Ababa University","https://openalex.org/I4537092","https://ror.org/038b8e254","ET"
"Aditya Birla (India)","https://openalex.org/I4210145126","https://ror.org/03pztks36","IN"
"Adler","https://openalex.org/I4210142837","https://ror.org/054ca2x66","CA"
"Adnan Menderes University","https://openalex.org/I76806599","https://ror.org/03n7yzv56","TR"
"Adobe Systems (United States)","https://openalex.org/I1306409833","https://ror.org/059tvcg64","US"
"Adolfo Ibáñez University","https://openalex.org/I21067949","https://ror.org/0326knt82","CL"
"Advanced Cell Diagnostics (United States)","https://openalex.org/I4210143684","https://ror.org/0555q8a52","US"
"Advanced Institute of Convergence Technology","https://openalex.org/I4210120602","https://ror.org/01w62yz22","KR"
"Advanced Micro Devices (United States)","https://openalex.org/I4210137977","https://ror.org/04kd6c783","US"
"Affiliated Hospital of Qingdao University","https://openalex.org/I4210116869","https://ror.org/026e9yy16","CN"
"Affiliated Hospital of Shandong University of Traditional Chinese Medicine","https://openalex.org/I4210159257","https://ror.org/052q26725","CN"
"Affiliated Hospital of Southwest Medical University","https://openalex.org/I4210086248","https://ror.org/0014a0n68","CN"
"Affiliated Hospital of Taishan Medical University","https://openalex.org/I4210107587","https://ror.org/01wn7w598","CN"
"Affiliated Hospital of Zunyi Medical College","https://openalex.org/I4210164192","https://ror.org/05mzh9z59","CN"
"Affiliated Zhongshan Hospital of Dalian University","https://openalex.org/I4210145090","https://ror.org/041ts2d40","CN"
"Africa Health Research Institute","https://openalex.org/I4210127310","https://ror.org/034m6ke32","ZA"
"African Studies Centre","https://openalex.org/I201713289","https://ror.org/00ma2r948","NL"
"Agency for Healthcare Research and Quality","https://openalex.org/I82994568","https://ror.org/03jmfdf59","US"
"Agency for Science, Technology and Research","https://openalex.org/I115228651","https://ror.org/036wvzt09","SG"
"Agricultural & Applied Economics Association","https://openalex.org/I889315371","https://ror.org/04e5cyn06","US"
"Agrifood Research Finland","https://openalex.org/I4210163838","https://ror.org/05kh5wx29","FI"
"Agrupamento de Escolas Nuno Álvares","https://openalex.org/I4210107352","https://ror.org/01v58ha34","PT"
"Aichi Institute of Technology","https://openalex.org/I190508380","https://ror.org/02qsepw74","JP"
"Air Force Medical University","https://openalex.org/I9916479","https://ror.org/00ms48f15","CN"
"Aix-Marseille University","https://openalex.org/I21491767","https://ror.org/035xkbk20","FR"
"Akdeniz University","https://openalex.org/I197907453","https://ror.org/01m59r132","TR"
"Albany Research Institute","https://openalex.org/I4210116763","https://ror.org/01hv1yg09","US"
"Albany State University","https://openalex.org/I113508548","https://ror.org/01vme4277","US"
"Alberta Cancer Foundation","https://openalex.org/I4210116778","https://ror.org/01k1b2g25","CA"
"Alberta Children's Hospital","https://openalex.org/I2802127220","https://ror.org/00sx29x36","CA"
"Alberta Health Services","https://openalex.org/I126859394","https://ror.org/02nt5es71","CA"
"Alberto Hurtado University","https://openalex.org/I3129804457","https://ror.org/00749za89","CL"
"Aligarh Muslim University","https://openalex.org/I171210897","https://ror.org/03kw9gc02","IN"
"All India Institute of Medical Sciences","https://openalex.org/I63739035","https://ror.org/02dwcqs71","IN"
"All India Institute of Medical Sciences Bhubaneswar","https://openalex.org/I4210117092","https://ror.org/029mnbn96","IN"
"Allegheny College","https://openalex.org/I120506574","https://ror.org/02jgzjj54","US"
"Altarum Institute","https://openalex.org/I1297333082","https://ror.org/01kq09n77","US"
"Alzheimer’s Research UK","https://openalex.org/I4210132925","https://ror.org/02ymzm013","GB"
"American Academy of Dermatology","https://openalex.org/I2799294867","https://ror.org/00bbqy387","US"
"American Academy of Nursing","https://openalex.org/I2800842511","https://ror.org/0196eae03","US"
"American Academy of Optometry","https://openalex.org/I4210103422","https://ror.org/012n4km28","US"
"American Bar Association","https://openalex.org/I1301991143","https://ror.org/0158f8t80","US"
"American Bar Foundation","https://openalex.org/I19645662","https://ror.org/02kjq0603","US"
"American Cancer Society","https://openalex.org/I1288198617","https://ror.org/02e463172","US"
"American Economic Association","https://openalex.org/I2802198758","https://ror.org/00eg2e012","US"
"American Foundation for AIDS Research","https://openalex.org/I2802687840","https://ror.org/02jesmk44","US"
"American Heart Association","https://openalex.org/I1281833243","https://ror.org/013kjyp64","US"
"American Institutes for Research","https://openalex.org/I1293631320","https://ror.org/00490n048","US"
"American Optometric Association","https://openalex.org/I2799461639","https://ror.org/04e90fr08","US"
"American Society of Civil Engineers","https://openalex.org/I2799617873","https://ror.org/05tmv0d13","US"
"American Society of Echocardiography","https://openalex.org/I2802416897","https://ror.org/059gy7s73","US"
"American Society of Plastic Surgeons","https://openalex.org/I2800773959","https://ror.org/04q4z6j92","US"
"American University","https://openalex.org/I181401687","https://ror.org/052w4zt36","US"
"American University of Beirut","https://openalex.org/I98635879","https://ror.org/04pznsd21","LB"
"Amgen (United States)","https://openalex.org/I1320553840","https://ror.org/03g03ge92","US"
"Amherst College","https://openalex.org/I177605424","https://ror.org/028vqfs63","US"
"Amrita Vishwa Vidyapeetham University","https://openalex.org/I81556334","https://ror.org/03am10p12","IN"
"Amsterdam Institute for Global Health and Development","https://openalex.org/I4210124406","https://ror.org/037n2rm85","NL"
"Amsterdam UMC Location VUmc","https://openalex.org/I911458345","https://ror.org/00q6h8f30","NL"
"Amsterdam University of the Arts","https://openalex.org/I4210135670","https://ror.org/04dde1554","NL"
"Analysis Group (United States)","https://openalex.org/I79463011","https://ror.org/044jp1563","US"
"Analysis and Testing Centre","https://openalex.org/I4210109015","https://ror.org/01m9scr97","CN"
"Anderson University - South Carolina","https://openalex.org/I68812265","https://ror.org/01gmrmd93","US"
"Andrew W. Mellon Foundation","https://openalex.org/I117053339","https://ror.org/04jsh2530","US"
"Anhui East China Institute of Optoelectronic Technology (China)","https://openalex.org/I4210126026","https://ror.org/033wz4y55","CN"
"Anhui Medical University","https://openalex.org/I197869895","https://ror.org/03xb04968","CN"
"Anhui Normal University","https://openalex.org/I4472751","https://ror.org/05fsfvw79","CN"
"Anhui University","https://openalex.org/I143868143","https://ror.org/05th6yx34","CN"
"Anhui University of Science and Technology","https://openalex.org/I184681353","https://ror.org/00q9atg80","CN"
"Ann Arbor Center for Independent Living","https://openalex.org/I4210140958","https://ror.org/045pcya52","US"
"Antrim Area Hospital","https://openalex.org/I4210088896","https://ror.org/005t72d47","GB"
"Anyang Institute of Technology","https://openalex.org/I4210146051","https://ror.org/03sd3t490","CN"
"Anyang Normal University","https://openalex.org/I4210117382","https://ror.org/02g9nss57","CN"
"Anyang University","https://openalex.org/I93906172","https://ror.org/018pdh902","KR"
"Aoyama Gakuin University","https://openalex.org/I131231118","https://ror.org/002rw7y37","JP"
"Appalachian State University","https://openalex.org/I430192","https://ror.org/051m4vc48","US"
"Apple (Israel)","https://openalex.org/I1311269955","https://ror.org/04ehjr030","IL"
"Applied Behavioral Research (United States)","https://openalex.org/I4210158265","https://ror.org/0290kkw06","US"
"Applied Materials (Singapore)","https://openalex.org/I4210102879","https://ror.org/01c4r0z03","SG"
"Applied Microengineering Limited (United Kingdom)","https://openalex.org/I4210155021","https://ror.org/05kv82629","GB"
"Applied Research (United States)","https://openalex.org/I4210096458","https://ror.org/00qw43163","US"
"Aravind Eye Hospital","https://openalex.org/I2800958399","https://ror.org/05vg07g77","IN"
"Architectural Association School of Architecture","https://openalex.org/I123152040","https://ror.org/03b8f3736","GB"
"Arge Vegetationsökologie und Landschaftsplanung","https://openalex.org/I4210136159","https://ror.org/04ehgfn88","AT"
"Argonne National Laboratory","https://openalex.org/I1282105669","https://ror.org/05gvnxz63","US"
"Arizona Geological Survey","https://openalex.org/I114681415","https://ror.org/00vcszp55","US"
"Arizona State University","https://openalex.org/I55732556","https://ror.org/03efmqc40","US"
"Arkansas Cardiology","https://openalex.org/I4210092020","https://ror.org/00gytj534","US"
"Arkansas Department of Agriculture","https://openalex.org/I4210160609","https://ror.org/055zztt33","US"
"Armstrong Flight Research Center","https://openalex.org/I175682507","https://ror.org/03em45j53","US"
"Army Medical University","https://openalex.org/I151075929","https://ror.org/05w21nn13","CN"
"Arrow International (United States)","https://openalex.org/I4210120642","https://ror.org/02pf7bx90","US"
"Ascension Via Christi","https://openalex.org/I4210150861","https://ror.org/04nxw7p13","US"
"Asian Development Bank Institute","https://openalex.org/I184220567","https://ror.org/04p4ws960","JP"
"Asian Institute of Management","https://openalex.org/I120760893","https://ror.org/03mt6tt39","PH"
"Astellas Pharma (United States)","https://openalex.org/I4210165171","https://ror.org/05pw69n24","US"
"AstraZeneca (Sweden)","https://openalex.org/I4210143795","https://ror.org/04wwrrg31","SE"
"AstraZeneca (United Kingdom)","https://openalex.org/I105036370","https://ror.org/04r9x1a08","GB"
"AstraZeneca (United States)","https://openalex.org/I4210150756","https://ror.org/043cec594","US"
"Atacama Large Millimeter Submillimeter Array","https://openalex.org/I2799520452","https://ror.org/01adx8c71","CL"
"Athens University of Economics and Business","https://openalex.org/I73142707","https://ror.org/03s262162","GR"
"Atlanta Medical Center","https://openalex.org/I2803053409","https://ror.org/05v7jp327","US"
"Atlanta VA Medical Center","https://openalex.org/I4210152539","https://ror.org/04z89xx32","US"
"Atlantic Oceanographic and Meteorological Laboratory","https://openalex.org/I2802094821","https://ror.org/042r9xb17","US"
"Atomic Energy and Alternative Energies Commission","https://openalex.org/I2738703131","https://ror.org/00jjx8s55","FR"
"Auburn University","https://openalex.org/I82497590","https://ror.org/02v80fc35","US"
"Augusta University","https://openalex.org/I25041050","https://ror.org/012mef835","US"
"Augusta University Health","https://openalex.org/I4210087454","https://ror.org/007rawr89","US"
"Australian Catholic University","https://openalex.org/I86695891","https://ror.org/04cxm4j25","AU"
"Australian National University","https://openalex.org/I118347636","https://ror.org/019wvm592","AU"
"Australian Regenerative Medicine Institute","https://openalex.org/I2801239119","https://ror.org/02qa5kg76","AU"
"Australian Research Council","https://openalex.org/I1337719021","https://ror.org/05mmh0f86","AU"
"Austrian Institute of Economic Research","https://openalex.org/I1315541505","https://ror.org/0515pjs57","AT"
"Autonomous University of Barcelona","https://openalex.org/I123044942","https://ror.org/052g8jq94","ES"
"Avery Dennison (United States)","https://openalex.org/I4210139433","https://ror.org/04sj13f52","US"
"Aviation Industry Corporation of China (China)","https://openalex.org/I11838497","https://ror.org/02wq41p38","CN"
"Avon and Wiltshire Mental Health Partnership NHS Trust","https://openalex.org/I160648776","https://ror.org/0379k6g72","GB"
"Azienda Ospedaliera Universitaria Senese","https://openalex.org/I4210134849","https://ror.org/02s7et124","IT"
"Azienda Usl 8 Arezzo","https://openalex.org/I4210097406","https://ror.org/00x56mf13","IT"
"B.E. Meyers & Co (United States)","https://openalex.org/I4210113936","https://ror.org/027z7k446","US"
"BC Cancer Agency","https://openalex.org/I1289530486","https://ror.org/03sfybe47","CA"
"BOE Technology Group (China)","https://openalex.org/I4210100976","https://ror.org/01cwwvj38","CN"
"BRAC","https://openalex.org/I173536338","https://ror.org/04hvavg21","BD"
"BRAC University","https://openalex.org/I5518804","https://ror.org/00sge8677","BD"
"Bahauddin Zakariya University","https://openalex.org/I127670440","https://ror.org/05x817c41","PK"
"Baidu (China)","https://openalex.org/I98301712","https://ror.org/03vs3wt56","CN"
"Banco de la República Colombia","https://openalex.org/I1332873766","https://ror.org/01shra089","CO"
"Bangladesh Agricultural University","https://openalex.org/I24057909","https://ror.org/03k5zb271","BD"
"Bangladesh Bank","https://openalex.org/I4210113189","https://ror.org/022xz9e77","BD"
"Bangor University","https://openalex.org/I161548249","https://ror.org/006jb1a24","GB"
"Bank for International Settlements","https://openalex.org/I52989892","https://ror.org/00d062t77","CH"
"Bank of America","https://openalex.org/I100621029","https://ror.org/006tvg625","US"
"Bank of Canada","https://openalex.org/I898769471","https://ror.org/05cc98565","CA"
"Bank of Italy","https://openalex.org/I103737770","https://ror.org/03v2nbx43","IT"
"Bank of Spain","https://openalex.org/I185763367","https://ror.org/02f26yq04","ES"
"Banque de France","https://openalex.org/I201298700","https://ror.org/0088v6m32","FR"
"Baogang Group (China)","https://openalex.org/I4210115494","https://ror.org/01rt7y457","CN"
"Baotou Medical College","https://openalex.org/I4210160794","https://ror.org/04t44qh67","CN"
"Bar-Ilan University","https://openalex.org/I13955877","https://ror.org/03kgsv495","IL"
"Barcelona Graduate School of Economics","https://openalex.org/I42134832","https://ror.org/02k09n368","ES"
"Barclays (United Kingdom)","https://openalex.org/I4210104812","https://ror.org/01few5909","GB"
"Bard College at Simon's Rock","https://openalex.org/I131240579","https://ror.org/034pcpg38","US"
"Barnard College","https://openalex.org/I98540497","https://ror.org/04rt94r53","US"
"Baruch College","https://openalex.org/I141810926","https://ror.org/023qavy03","US"
"Baxter (United States)","https://openalex.org/I99484792","https://ror.org/02d6ew870","US"
"Bay State College","https://openalex.org/I78063147","https://ror.org/04hcs1a71","US"
"Baycrest Hospital","https://openalex.org/I2802437833","https://ror.org/03gp5b411","CA"
"Baylor College of Medicine","https://openalex.org/I181547552","https://ror.org/02pttbw34","US"
"Baylor Genetics","https://openalex.org/I4210162370","https://ror.org/05bxjx840","US"
"Baylor University","https://openalex.org/I157394403","https://ror.org/005781934","US"
"Beihang University","https://openalex.org/I82880672","https://ror.org/00wk2mp56","CN"
"Beijing Anzhen Hospital","https://openalex.org/I4210119028","https://ror.org/02h2j1586","CN"
"Beijing Botanical Garden","https://openalex.org/I2800525753","https://ror.org/0424a8630","CN"
"Beijing Center for Disease Prevention and Control","https://openalex.org/I4210161151","https://ror.org/058dc0w16","CN"
"Beijing Chao-Yang Hospital","https://openalex.org/I2800232565","https://ror.org/01eff5662","CN"
"Beijing City University","https://openalex.org/I49496784","https://ror.org/01jfjwr55","CN"
"Beijing Dance Academy","https://openalex.org/I2801787653","https://ror.org/02g3wgj66","CN"
"Beijing Ditan Hospital","https://openalex.org/I4210150338","https://ror.org/05kkkes98","CN"
"Beijing Foreign Studies University","https://openalex.org/I109173049","https://ror.org/00jdr0662","CN"
"Beijing Forestry University","https://openalex.org/I31683504","https://ror.org/04xv2pc41","CN"
"Beijing Friendship Hospital","https://openalex.org/I4210147433","https://ror.org/053qy4437","CN"
"Beijing General Research Institute of Mining and Metallurgy","https://openalex.org/I4210108870","https://ror.org/01z3gk918","CN"
"Beijing Health Vocational College","https://openalex.org/I4210118466","https://ror.org/02ggsxt79","CN"
"Beijing Hospital","https://openalex.org/I4210119648","https://ror.org/02jwb5s28","CN"
"Beijing Hua Xin Hospital","https://openalex.org/I4210155055","https://ror.org/04k6zqn86","CN"
"Beijing HuiLongGuan Hospital","https://openalex.org/I4210147103","https://ror.org/03wgqqb38","CN"
"Beijing Information Science & Technology University","https://openalex.org/I78675632","https://ror.org/04xnqep60","CN"
"Beijing Institute of Education","https://openalex.org/I142415962","https://ror.org/03aefdx31","CN"
"Beijing Institute of Fashion Technology","https://openalex.org/I102882674","https://ror.org/03hgxtg28","CN"
"Beijing Institute of Geology for Mineral Resources","https://openalex.org/I4210091612","https://ror.org/00cq3qn16","CN"
"Beijing Institute of Optoelectronic Technology","https://openalex.org/I4210089040","https://ror.org/0099d6q96","CN"
"Beijing Institute of Technology","https://openalex.org/I125839683","https://ror.org/01skt4w74","CN"
"Beijing Jiaotong University","https://openalex.org/I21193070","https://ror.org/01yj56c84","CN"
"Beijing Jingshida Electromechanical Equipment Research Institute","https://openalex.org/I4210120144","https://ror.org/02vx4zx98","CN"
"Beijing Jishuitan Hospital","https://openalex.org/I2802957242","https://ror.org/035t17984","CN"
"Beijing Luhe Hospital Affiliated to Capital Medical University","https://openalex.org/I4210114604","https://ror.org/01zyn4z03","CN"
"Beijing Meteorological Bureau","https://openalex.org/I4210137516","https://ror.org/03wd9vk87","CN"
"Beijing Municipal Ecological and Environmental Monitoring Center","https://openalex.org/I4210123392","https://ror.org/02ygbbs43","CN"
"Beijing National Laboratory for Molecular Sciences","https://openalex.org/I4210116048","https://ror.org/02601yx74","CN"
"Beijing Normal University","https://openalex.org/I25254941","https://ror.org/022k4wk35","CN"
"Beijing Obstetrics and Gynecology Hospital","https://openalex.org/I4210163952","https://ror.org/05787my06","CN"
"Beijing Proteome Research Center","https://openalex.org/I4210149540","https://ror.org/05pp5b412","CN"
"Beijing Red Cross Blood Center","https://openalex.org/I4210141561","https://ror.org/03ycpex79","CN"
"Beijing Seismological Bureau","https://openalex.org/I4210159635","https://ror.org/059q0y753","CN"
"Beijing Shijitan Hospital","https://openalex.org/I4210154593","https://ror.org/0569k1630","CN"
"Beijing Solar Energy Research Institute","https://openalex.org/I4210108243","https://ror.org/01p6qdx15","CN"
"Beijing Technology and Business University","https://openalex.org/I179026463","https://ror.org/013e0zm98","CN"
"Beijing Tian Tan Hospital","https://openalex.org/I4210087691","https://ror.org/003regz62","CN"
"Beijing Union University","https://openalex.org/I114234892","https://ror.org/01hg31662","CN"
"Beijing University of Agriculture","https://openalex.org/I4210137558","https://ror.org/03t9adt98","CN"
"Beijing University of Chemical Technology","https://openalex.org/I75390827","https://ror.org/00df5yc52","CN"
"Beijing University of Chinese Medicine","https://openalex.org/I17747738","https://ror.org/05damtm70","CN"
"Beijing University of Posts and Telecommunications","https://openalex.org/I139759216","https://ror.org/04w9fbh59","CN"
"Beijing University of Technology","https://openalex.org/I37796252","https://ror.org/037b1pp87","CN"
"Beijing YouAn Hospital","https://openalex.org/I4210147332","https://ror.org/04etaja30","CN"
"Bejing Institute of Aeronautical Materials","https://openalex.org/I4210085980","https://ror.org/0099j7t54","CN"
"Bell (Canada)","https://openalex.org/I176714629","https://ror.org/00xdg8m59","CA"
"Bellarmine University","https://openalex.org/I872719","https://ror.org/04p81nz21","US"
"Bellevue College","https://openalex.org/I174135032","https://ror.org/05gr4yv49","US"
"Bellevue Hospital Center","https://openalex.org/I4210108985","https://ror.org/01ky34z31","US"
"Ben-Gurion University of the Negev","https://openalex.org/I124227911","https://ror.org/05tkyf982","IL"
"Bengbu Medical College","https://openalex.org/I169351748","https://ror.org/01f8qvj05","CN"
"Bentley University","https://openalex.org/I139924743","https://ror.org/01px48m89","US"
"Berkeley College","https://openalex.org/I134446601","https://ror.org/02xewxa75","US"
"Berkeley Public Health Division","https://openalex.org/I4210147807","https://ror.org/05r9c7f43","US"
"Berry College","https://openalex.org/I103605065","https://ror.org/04btayy36","US"
"Beth Israel Deaconess Hospital","https://openalex.org/I2801337628","https://ror.org/02cpjkp59","US"
"Beth Israel Deaconess Medical Center","https://openalex.org/I1316535847","https://ror.org/04drvxt59","US"
"Bethune International Peace Hospital","https://openalex.org/I4210132332","https://ror.org/040aks519","CN"
"Bhabha Hospital","https://openalex.org/I2799841569","https://ror.org/01q855b60","IN"
"Bharathiar University","https://openalex.org/I111575329","https://ror.org/04fht8c22","IN"
"Bielefeld University","https://openalex.org/I20121455","https://ror.org/02hpadn98","DE"
"Bill & Melinda Gates Foundation","https://openalex.org/I1303444417","https://ror.org/0456r8d26","US"
"Binghamton University","https://openalex.org/I123946342","https://ror.org/008rmbt77","US"
"Binzhou Medical University","https://openalex.org/I134841294","https://ror.org/008w1vb37","CN"
"Binzhou People's Hospital","https://openalex.org/I4210121261","https://ror.org/01y8cpr39","CN"
"Biogen (United States)","https://openalex.org/I1297540436","https://ror.org/02jqkb192","US"
"Biology of Infection","https://openalex.org/I4210108440","https://ror.org/01x3ftb23","FR"
"Biotechnology Institute","https://openalex.org/I1312106833","https://ror.org/00s1jty20","US"
"Birkbeck, University of London","https://openalex.org/I98259816","https://ror.org/02mb95055","GB"
"Bispebjerg Hospital","https://openalex.org/I2801941904","https://ror.org/00td68a17","DK"
"Blackpool Victoria Hospital","https://openalex.org/I2801018919","https://ror.org/01r9ea713","GB"
"Blackpool and The Fylde College","https://openalex.org/I4210129323","https://ror.org/03fvzd757","GB"
"Blantyre Institute for Community Ophthalmology","https://openalex.org/I4210132163","https://ror.org/03hbv3b74","MW"
"Bloomberg (United States)","https://openalex.org/I1299907687","https://ror.org/02rdpzb15","US"
"Board of the Swiss Federal Institutes of Technology","https://openalex.org/I2799323385","https://ror.org/01rvn4p91","CH"
"Bocconi University","https://openalex.org/I71209653","https://ror.org/05crjpb27","IT"
"Boeing (Australia)","https://openalex.org/I2801120396","https://ror.org/0346ase89","AU"
"Boeing (United States)","https://openalex.org/I4210150370","https://ror.org/04sm5zn07","US"
"Bombardier (Sweden)","https://openalex.org/I4210123651","https://ror.org/02ec4x178","SE"
"Booth University College","https://openalex.org/I325960478","https://ror.org/02y3prs94","CA"
"Boston Children's Hospital","https://openalex.org/I1288882113","https://ror.org/00dvg7y05","US"
"Boston College","https://openalex.org/I103531236","https://ror.org/02n2fzt79","US"
"Boston Medical Center","https://openalex.org/I1286490081","https://ror.org/010b9wj87","US"
"Boston University","https://openalex.org/I111088046","https://ror.org/05qwgg493","US"
"Bournemouth University","https://openalex.org/I9300472","https://ror.org/05wwcw481","GB"
"Bowling Green State University","https://openalex.org/I157417397","https://ror.org/00ay7va13","US"
"Bradford Royal Infirmary","https://openalex.org/I2800495676","https://ror.org/01ck0pr88","GB"
"Bradford Teaching Hospitals NHS Foundation Trust","https://openalex.org/I4210166758","https://ror.org/05gekvn04","GB"
"Bradley Hospital","https://openalex.org/I2800634083","https://ror.org/02mx8nz45","US"
"Brandeis University","https://openalex.org/I6902469","https://ror.org/05abbep66","US"
"Bread for the World Institute","https://openalex.org/I2800552397","https://ror.org/015dkz579","US"
"Brescia University","https://openalex.org/I30667456","https://ror.org/015ahgd08","US"
"Bridge University","https://openalex.org/I4210096386","https://ror.org/00cbm0437","SS"
"Brigham Young University","https://openalex.org/I100005738","https://ror.org/047rhhm47","US"
"Brigham and Women's Hospital","https://openalex.org/I1283280774","https://ror.org/04b6nzv94","US"
"Bristol Royal Hospital for Children","https://openalex.org/I2801868026","https://ror.org/01qgecw57","GB"
"Bristol-Myers Squibb (Germany)","https://openalex.org/I157075465","https://ror.org/032hfv632","DE"
"Bristol-Myers Squibb (United Kingdom)","https://openalex.org/I4210125795","https://ror.org/03emf1n04","GB"
"Bristol-Myers Squibb (United States)","https://openalex.org/I4210091812","https://ror.org/00gtmwv55","US"
"British Columbia Children's Hospital","https://openalex.org/I4210153200","https://ror.org/04n901w50","CA"
"British Society for Haematology","https://openalex.org/I4210118455","https://ror.org/02fndbp74","GB"
"Broad Center","https://openalex.org/I4210150380","https://ror.org/04tbrah05","US"
"Broad Institute","https://openalex.org/I107606265","https://ror.org/05a0ya142","US"
"Broadcom (United States)","https://openalex.org/I4210127325","https://ror.org/035gt5s03","US"
"Brock University","https://openalex.org/I186803428","https://ror.org/056am2717","CA"
"Brooke","https://openalex.org/I4210099557","https://ror.org/00zwgem63","GB"
"Brookings Institution","https://openalex.org/I115283149","https://ror.org/04aj4sh46","US"
"Brown University","https://openalex.org/I27804330","https://ror.org/05gq02987","US"
"Bruegel","https://openalex.org/I21450314","https://ror.org/03e6bna46","BE"
"Brunel University London","https://openalex.org/I59433898","https://ror.org/00dn4t376","GB"
"Buchang Pharma (China)","https://openalex.org/I4210126884","https://ror.org/02cghc635","CN"
"Bucharest University of Economic Studies","https://openalex.org/I88491126","https://ror.org/04yvncj21","RO"
"Buckinghamshire New University","https://openalex.org/I19668297","https://ror.org/02q3bak66","GB"
"Budapest University of Technology and Economics","https://openalex.org/I29770179","https://ror.org/02w42ss30","HU"
"Bulgarian Academy of Sciences","https://openalex.org/I24768866","https://ror.org/01x8hew03","BG"
"Bureau for Economic Theory and Applications","https://openalex.org/I4210166604","https://ror.org/05em8ne27","FR"
"Bureau of Economic Analysis","https://openalex.org/I1288783943","https://ror.org/03b17a012","US"
"Bureau of Energy","https://openalex.org/I2800194270","https://ror.org/044ktnx96","TW"
"Bureau of Labor Statistics","https://openalex.org/I1290095210","https://ror.org/03z2d7y96","US"
"Burke Medical Research Institute","https://openalex.org/I4210117944","https://ror.org/02sp1z620","US"
"C4i (Canada)","https://openalex.org/I4210163209","https://ror.org/05v965x44","CA"
"CAE (Canada)","https://openalex.org/I900231141","https://ror.org/00m1n2078","CA"
"CAF – Development Bank of Latin America","https://openalex.org/I4210159164","https://ror.org/04mh6t995","US"
"CAS Key Laboratory of Urban Pollutant Conversion","https://openalex.org/I4210124140","https://ror.org/02w5xy446","CN"
"CEA Grenoble","https://openalex.org/I3020098449","https://ror.org/02mg6n827","FR"
"CEA LIST","https://openalex.org/I4210085861","https://ror.org/000dbcc61","FR"
"CESI (Italy)","https://openalex.org/I4210115699","https://ror.org/02magnn81","IT"
"CGIAR","https://openalex.org/I1286583668","https://ror.org/04c4bm785","FR"
"CItés, Territoires, Environnement et Sociétés","https://openalex.org/I4210159382","https://ror.org/04ahza989","FR"
"CPB Netherlands Bureau for Economic Policy Analysis","https://openalex.org/I2800425962","https://ror.org/04rjxzd30","NL"
"CRUK Lung Cancer Centre of Excellence","https://openalex.org/I4210147892","https://ror.org/04nm2mq63","GB"
"CY Cergy Paris University","https://openalex.org/I4210142324","https://ror.org/043htjv09","FR"
"California Air Resources Board","https://openalex.org/I1316958739","https://ror.org/021h56y19","US"
"California Institute of Technology","https://openalex.org/I122411786","https://ror.org/05dxps055","US"
"California Pacific Medical Center","https://openalex.org/I2801780550","https://ror.org/02bjh0167","US"
"California State Polytechnic University","https://openalex.org/I98947143","https://ror.org/05by5hm18","US"
