"DOI","Total.Citations","Average.per.Year","Author.Order","Author.Name","Title","h-index"
"10.1257/app.1.2.128",13,"1,44","2","Charles, Kerwin Kofi","A Cautionary Tale About the Use of Administrative Data: Evidence from Age of Marriage Laws",10
"10.1257/app.1.2.128",13,"1,44","3","Sallee, James M.","A Cautionary Tale About the Use of Administrative Data: Evidence from Age of Marriage Laws",8
"10.1257/app.1.2.150",3,"0,33","1","Kremer, Michael","A Biological Model of Unions",17
"10.1257/app.1.2.150",3,"0,33","2","Olken, Benjamin A.","A Biological Model of Unions",13
"10.1257/app.1.2.176",35,"3,89","1","Huillery, Elise","History Matters: The Long-Term Impact of Colonial Public Investments in French West Africa",2
"10.1257/app.1.2.35",86,"9,56","1","Gerber, Alan S.","Does the Media Matter? A Field Experiment Measuring the Effect of Newspapers on Voting Behavior and Political Opinions",16
"10.1257/app.1.2.35",86,"9,56","2","Karlan, Dean","Does the Media Matter? A Field Experiment Measuring the Effect of Newspapers on Voting Behavior and Political Opinions",19
"10.1257/app.1.2.35",86,"9,56","3","Bergan, Daniel","Does the Media Matter? A Field Experiment Measuring the Effect of Newspapers on Voting Behavior and Political Opinions",3
"10.1257/app.1.2.53",21,"2,33","1","Piketty, Thomas","Income Inequality and Progressive Income Taxation in China and India, 1986-2015",11
"10.1257/app.1.2.53",21,"2,33","2","Qian, Nancy","Income Inequality and Progressive Income Taxation in China and India, 1986-2015",5
"10.1257/app.1.2.64",33,"3,67","1","Fong, Christina M.","What Determines Giving to Hurricane Katrina Victims? Experimental Evidence on Racial Group Loyalty",5
"10.1257/app.1.2.64",33,"3,67","2","Luttmer, Erzo F. P.","What Determines Giving to Hurricane Katrina Victims? Experimental Evidence on Racial Group Loyalty",8
"10.1257/app.1.2.88",9,"1","1","Lafontaine, Francine","Do Labor Market Rigidities Have Microeconomic Effects? Evidence from Within the Firm",6
"10.1257/app.1.2.88",9,"1","2","Sivadasan, Jagadeesh","Do Labor Market Rigidities Have Microeconomic Effects? Evidence from Within the Firm",6
"10.1257/app.1.3.1",46,"5,11","1","de Mel, Suresh","Are Women More Credit Constrained? Experimental Evidence on Gender and Microenterprise Returns",7
"10.1257/app.1.3.1",46,"5,11","2","McKenzie, David","Are Women More Credit Constrained? Experimental Evidence on Gender and Microenterprise Returns",20
"10.1257/app.1.3.1",46,"5,11","3","Woodruff, Christopher","Are Women More Credit Constrained? Experimental Evidence on Gender and Microenterprise Returns",11
"10.1257/app.1.3.111",87,"9,67","1","Deming, David","Early Childhood Intervention and Life-Cycle Skill Development: Evidence from Head Start",6
"10.1257/app.1.3.135",97,"10,78","1","Peri, Giovanni","Task Specialization, Immigration, and Wages",13
"10.1257/app.1.3.135",97,"10,78","2","Sparber, Chad","Task Specialization, Immigration, and Wages",5
"10.1257/app.1.3.170",23,"2,56","1","Fortson, Jane G.","HIV/AIDS and Fertility",4
"10.1257/app.1.3.33",28,"3,11","1","Jacob, Brian A.","The Effect of Grade Retention on High School Completion",13
"10.1257/app.1.3.33",28,"3,11","2","Lefgren, Lars","The Effect of Grade Retention on High School Completion",9
"10.1257/app.1.3.59",17,"1,89","1","Visaria, Sujata","Legal Reform and Loan Repayment: The Microeconomic Impact of Debt Recovery Tribunals in India",3
"10.1257/app.1.3.82",10,"1,11","1","Fisman, Raymond","The Smuggling of Art, and the Art of Smuggling: Uncovering the Illicit Trade in Cultural Property and Antiques",9
"10.1257/app.1.3.82",10,"1,11","2","Wei, Shang-Jin","The Smuggling of Art, and the Art of Smuggling: Uncovering the Illicit Trade in Cultural Property and Antiques",NA
"10.1257/app.1.3.97",5,"0,56","1","Frijters, Paul","To Work or Not to Work? Child Development and Maternal Labor Supply",11
"10.1257/app.1.3.97",5,"0,56","2","Johnston, David W.","To Work or Not to Work? Child Development and Maternal Labor Supply",12
"10.1257/app.1.3.97",5,"0,56","3","Shah, Manisha","To Work or Not to Work? Child Development and Maternal Labor Supply",9
"10.1257/app.1.3.97",5,"0,56","4","Shields, Michael A.","To Work or Not to Work? Child Development and Maternal Labor Supply",12
"10.1257/app.1.4.1",41,"4,56","1","Olken, Benjamin A.","Do Television and Radio Destroy Social Capital? Evidence from Indonesian Villages",13
"10.1257/app.1.4.109",56,"6,22","1","Hoynes, Hilary W.","Consumption Responses to In-Kind Transfers: Evidence from the Introduction of the Food Stamp Program",6
"10.1257/app.1.4.109",56,"6,22","2","Schanzenbach, Diane Whitmore","Consumption Responses to In-Kind Transfers: Evidence from the Introduction of the Food Stamp Program",8
"10.1257/app.1.4.140",25,"2,78","1","Field, Erica","Iodine Deficiency and Schooling Attainment in Tanzania",10
"10.1257/app.1.4.140",25,"2,78","2","Robles, Omar","Iodine Deficiency and Schooling Attainment in Tanzania",2
"10.1257/app.1.4.140",25,"2,78","3","Torero, Maximo","Iodine Deficiency and Schooling Attainment in Tanzania",5
"10.1257/app.1.4.170",7,"0,78","1","Heffetz, Ori","How Large Are Non-Budget-Constraint Effects of Prices on Demand?",6
"10.1257/app.1.4.170",7,"0,78","2","Shayo, Moses","How Large Are Non-Budget-Constraint Effects of Prices on Demand?",5
"10.1257/app.1.4.200",80,"8,89","1","Bruhn, Miriam","In Pursuit of Balance: Randomization in Practice in Development Field Experiments",6
"10.1257/app.1.4.200",80,"8,89","2","McKenzie, David","In Pursuit of Balance: Randomization in Practice in Development Field Experiments",20
"10.1257/app.1.4.34",55,"6,11","1","Guryan, Jonathan","Peer Effects in the Workplace: Evidence from Random Groupings in Professional Golf Tournaments",9
"10.1257/app.1.4.34",55,"6,11","2","Kroft, Kory","Peer Effects in the Workplace: Evidence from Random Groupings in Professional Golf Tournaments",5
"10.1257/app.1.4.34",55,"6,11","3","Notowidigdo, Matthew J.","Peer Effects in the Workplace: Evidence from Random Groupings in Professional Golf Tournaments",7
"10.1257/app.1.4.69",15,"1,67","1","Lyle, David S.","The Effects of Peer Group Heterogeneity on the Production of Human Capital at West Point",4
"10.1257/app.1.4.85",14,"1,56","1","Jackson, Kirabo","Teaching Students and Teaching Each Other: The Importance of Peer Learning for Teachers",1
"10.1257/app.1.4.85",14,"1,56","2","Bruegmann, Elias","Teaching Students and Teaching Each Other: The Importance of Peer Learning for Teachers",1
"10.1257/app.2.1.1",58,"7,25","1","Adda, Jerome","The Effect of Bans and Taxes on Passive Smoking",5
"10.1257/app.2.1.1",58,"7,25","2","Cornaglia, Francesca","The Effect of Bans and Taxes on Passive Smoking",3
"10.1257/app.2.1.116",10,"1,25","1","Fryer, Roland G., Jr.","The Changing Consequences of Attending Historically Black Colleges and Universities",9
"10.1257/app.2.1.116",10,"1,25","2","Greenstone, Michael","The Changing Consequences of Attending Historically Black Colleges and Universities",11
"10.1257/app.2.1.149",19,"2,38","1","Freeman, Richard B.","Prize Structure and Information in Tournaments: Experimental Evidence",34
"10.1257/app.2.1.149",19,"2,38","2","Gelber, Alexander M.","Prize Structure and Information in Tournaments: Experimental Evidence",4
"10.1257/app.2.1.165",43,"5,38","1","Bleakley, Hoyt","Age at Arrival, English Proficiency, and Social Assimilation Among US Immigrants",10
"10.1257/app.2.1.165",43,"5,38","2","Chin, Aimee","Age at Arrival, English Proficiency, and Social Assimilation Among US Immigrants",6
"10.1257/app.2.1.193",99,"12,38","1","Meier, Stephan","Present-Biased Preferences and Credit Card Borrowing",12
"10.1257/app.2.1.193",99,"12,38","2","Sprenger, Charles","Present-Biased Preferences and Credit Card Borrowing",6
"10.1257/app.2.1.211",57,"7,12","1","Carrell, Scott E.","Externalities in the Classroom: How Children Exposed to Domestic Violence Affect Everyone's Kids",9
"10.1257/app.2.1.211",57,"7,12","2","Hoekstra, Mark L.","Externalities in the Classroom: How Children Exposed to Domestic Violence Affect Everyone's Kids",1
"10.1257/app.2.1.33",31,"3,88","1","Chou, Shin-Yi","Parental Education and Child Health: Evidence from a Natural Experiment in Taiwan",8
"10.1257/app.2.1.33",31,"3,88","2","Liu, Jin-Tan","Parental Education and Child Health: Evidence from a Natural Experiment in Taiwan",6
"10.1257/app.2.1.33",31,"3,88","3","Grossman, Michael","Parental Education and Child Health: Evidence from a Natural Experiment in Taiwan",18
"10.1257/app.2.1.33",31,"3,88","4","Joyce, Ted","Parental Education and Child Health: Evidence from a Natural Experiment in Taiwan",10
"10.1257/app.2.1.62",15,"1,88","1","Magruder, Jeremy R.","Intergenerational Networks, Unemployment, and Persistent Inequality in South Africa",4
"10.1257/app.2.1.86",45,"5,62","1","Akee, Randall K. Q.","Parents' Incomes and Children's Outcomes: A Quasi-Experiment Using Transfer Payments from Casino Profits",4
"10.1257/app.2.1.86",45,"5,62","2","Copeland, William E.","Parents' Incomes and Children's Outcomes: A Quasi-Experiment Using Transfer Payments from Casino Profits",13
"10.1257/app.2.1.86",45,"5,62","3","Keeler, Gordon","Parents' Incomes and Children's Outcomes: A Quasi-Experiment Using Transfer Payments from Casino Profits",10
"10.1257/app.2.1.86",45,"5,62","4","Angold, Adrian","Parents' Incomes and Children's Outcomes: A Quasi-Experiment Using Transfer Payments from Casino Profits",40
"10.1257/app.2.1.86",45,"5,62","5","Costello, E. Jane","Parents' Incomes and Children's Outcomes: A Quasi-Experiment Using Transfer Payments from Casino Profits",36
"10.1257/app.2.2.1",61,"7,62","1","Bleakley, Hoyt","Malaria Eradication in the Americas: A Retrospective Analysis of Childhood Exposure",10
"10.1257/app.2.2.118",18,"2,25","1","Jayachandran, Seema","Modern Medicine and the Twentieth Century Decline in Mortality: Evidence on the Impact of Sulfa Drugs",7
"10.1257/app.2.2.118",18,"2,25","2","Lleras-Muney, Adriana","Modern Medicine and the Twentieth Century Decline in Mortality: Evidence on the Impact of Sulfa Drugs",10
"10.1257/app.2.2.118",18,"2,25","3","Smith, Kimberly V.","Modern Medicine and the Twentieth Century Decline in Mortality: Evidence on the Impact of Sulfa Drugs",4
"10.1257/app.2.2.147",8,"1","1","Jones, Damon","Information, Preferences, and Public Benefit Participation: Experimental Evidence from the Advance EITC and 401(k) Savings",2
"10.1257/app.2.2.164",63,"7,88","1","Wisdom, Jessica","Promoting Healthy Choices: Information versus Convenience",4
"10.1257/app.2.2.164",63,"7,88","2","Downs, Julie S.","Promoting Healthy Choices: Information versus Convenience",13
"10.1257/app.2.2.164",63,"7,88","3","Loewenstein, George","Promoting Healthy Choices: Information versus Convenience",38
"10.1257/app.2.2.179",27,"3,38","1","Djankov, Simeon","Disclosure by Politicians",14
"10.1257/app.2.2.179",27,"3,38","2","La Porta, Rafael","Disclosure by Politicians",7
"10.1257/app.2.2.179",27,"3,38","3","Lopez-de-Silanes, Florencio","Disclosure by Politicians",6
"10.1257/app.2.2.179",27,"3,38","4","Shleifer, Andrei","Disclosure by Politicians",19
"10.1257/app.2.2.210",62,"7,75","1","Fryer, Roland G., Jr.","An Empirical Analysis of the Gender Gap in Mathematics",10
"10.1257/app.2.2.210",62,"7,75","2","Levitt, Steven D.","An Empirical Analysis of the Gender Gap in Mathematics",11
"10.1257/app.2.2.241",37,"4,62","1","De Giorgi, Giacomo","Identification of Social Interactions through Partially Overlapping Peer Groups",5
"10.1257/app.2.2.241",37,"4,62","2","Pellizzari, Michele","Identification of Social Interactions through Partially Overlapping Peer Groups",6
"10.1257/app.2.2.241",37,"4,62","3","Redaelli, Silvia","Identification of Social Interactions through Partially Overlapping Peer Groups",2
"10.1257/app.2.2.46",43,"5,38","1","Lucas, Adrienne M.","Malaria Eradication and Educational Attainment: Evidence from Paraguay and Sri Lanka",4
"10.1257/app.2.2.72",41,"5,12","1","Cutler, David","Early-life Malaria Exposure and Adult Outcomes: Evidence from Malaria Eradication in India",26
"10.1257/app.2.2.72",41,"5,12","2","Fung, Winnie","Early-life Malaria Exposure and Adult Outcomes: Evidence from Malaria Eradication in India",2
"10.1257/app.2.2.72",41,"5,12","3","Kremer, Michael","Early-life Malaria Exposure and Adult Outcomes: Evidence from Malaria Eradication in India",25
"10.1257/app.2.2.72",41,"5,12","4","Singhal, Monica","Early-life Malaria Exposure and Adult Outcomes: Evidence from Malaria Eradication in India",4
"10.1257/app.2.2.72",41,"5,12","5","Vogl, Tom","Early-life Malaria Exposure and Adult Outcomes: Evidence from Malaria Eradication in India",4
"10.1257/app.2.2.95",10,"1,25","1","Lindo, Jason M.","Ability, Gender, and Performance Standards: Evidence from Academic Probation",4
"10.1257/app.2.2.95",10,"1,25","2","Sanders, Nicholas J.","Ability, Gender, and Performance Standards: Evidence from Academic Probation",2
"10.1257/app.2.2.95",10,"1,25","3","Oreopoulos, Philip","Ability, Gender, and Performance Standards: Evidence from Academic Probation",10
"10.1257/app.2.3.1",7,"0,88","1","Schmieder, Johannes F.","Does Wage Persistence Matter for Employment Fluctuations? Evidence from Displaced Workers",4
"10.1257/app.2.3.1",7,"0,88","2","von Wachter, Till","Does Wage Persistence Matter for Employment Fluctuations? Evidence from Displaced Workers",8
"10.1257/app.2.3.129",63,"7,88","1","Bound, John","Why Have College Completion Rates Declined? An Analysis of Changing Student Preparation and Collegiate Resources",13
"10.1257/app.2.3.129",63,"7,88","2","Lovenheim, Michael F.","Why Have College Completion Rates Declined? An Analysis of Changing Student Preparation and Collegiate Resources",8
"10.1257/app.2.3.129",63,"7,88","3","Turner, Sarah","Why Have College Completion Rates Declined? An Analysis of Changing Student Preparation and Collegiate Resources",6
"10.1257/app.2.3.158",20,"2,5","1","Hanna, Rema","US Environmental Regulation and FDI: Evidence from a Panel of US-Based Multinational Firms",5
"10.1257/app.2.3.190",2,"0,25","1","Pandey, Priyanka","Service Delivery and Corruption in Public Services: How Does History Matter?",3
"10.1257/app.2.3.205",62,"7,75","1","Glewwe, Paul","Teacher Incentives",7
"10.1257/app.2.3.205",62,"7,75","2","Ilias, Nauman","Teacher Incentives",2
"10.1257/app.2.3.205",62,"7,75","3","Kremer, Michael","Teacher Incentives",25
"10.1257/app.2.3.22",38,"4,75","1","Goyal, Aparajita","Information, Direct Access to Farmers, and Rural Market Performance in Central India",3
"10.1257/app.2.3.228",95,"11,88","1","Bertrand, Marianne","Dynamics of the Gender Gap for Young Professionals in the Financial and Corporate Sectors",15
"10.1257/app.2.3.228",95,"11,88","2","Goldin, Claudia","Dynamics of the Gender Gap for Young Professionals in the Financial and Corporate Sectors",8
"10.1257/app.2.3.228",95,"11,88","3","Katz, Lawrence F.","Dynamics of the Gender Gap for Young Professionals in the Financial and Corporate Sectors",12
"10.1257/app.2.3.256",19,"2,38","1","Michaels, Guy","Freedom Fries",7
"10.1257/app.2.3.256",19,"2,38","2","Zhi, Xiaojia","Freedom Fries",1
"10.1257/app.2.3.46",57,"7,12","1","Aker, Jenny C.","Information from Markets Near and Far: Mobile Phones and Agricultural Markets in Niger",4
"10.1257/app.2.3.60",32,"4","1","Gine, Xavier","Microfinance Games",9
"10.1257/app.2.3.60",32,"4","2","Jakiela, Pamela","Microfinance Games",2
"10.1257/app.2.3.60",32,"4","3","Karlan, Dean","Microfinance Games",17
"10.1257/app.2.3.60",32,"4","4","Morduch, Jonathan","Microfinance Games",9
"10.1257/app.2.3.96",45,"5,62","1","Autor, David H.","Do Temporary-Help Jobs Improve Labor Market Outcomes for Low-Skilled Workers? Evidence from ""Work First""",11
"10.1257/app.2.3.96",45,"5,62","2","Houseman, Susan N.","Do Temporary-Help Jobs Improve Labor Market Outcomes for Low-Skilled Workers? Evidence from ""Work First""",2
"10.1257/app.2.4.1",50,"6,25","1","Topalova, Petia","Factor Immobility and Regional Impacts of Trade Liberalization: Evidence on Poverty from India",10
"10.1257/app.2.4.105",30,"3,75","1","Guadalupe, Maria","The Flattening Firm and Product Market Competition: The Effect of Trade Liberalization on Corporate Hierarchies",7
"10.1257/app.2.4.105",30,"3,75","2","Wulf, Julie","The Flattening Firm and Product Market Competition: The Effect of Trade Liberalization on Corporate Hierarchies",7
"10.1257/app.2.4.128",17,"2,12","1","Bosch, Mariano","Minimum Wages and Earnings Inequality in Urban Mexico",5
"10.1257/app.2.4.128",17,"2,12","2","Manacorda, Marco","Minimum Wages and Earnings Inequality in Urban Mexico",7
"10.1257/app.2.4.150",15,"1,88","1","Card, David","School Competition and Efficiency with Publicly Funded Catholic Schools",15
"10.1257/app.2.4.150",15,"1,88","2","Dooley, Martin D.","School Competition and Efficiency with Publicly Funded Catholic Schools",3
"10.1257/app.2.4.150",15,"1,88","3","Payne, A. Abigail","School Competition and Efficiency with Publicly Funded Catholic Schools",3
"10.1257/app.2.4.177",40,"5","1","Sydnor, Justin","(Over)insuring Modest Risks",5
"10.1257/app.2.4.200",17,"2,12","1","Egger, Peter","Government Spending and Legislative Organization: Quasi-Experimental Evidence from Germany",15
"10.1257/app.2.4.200",17,"2,12","2","Koethenbuerger, Marko","Government Spending and Legislative Organization: Quasi-Experimental Evidence from Germany",6
"10.1257/app.2.4.213",53,"6,62","1","Gine, Xavier","Put Your Money Where Your Butt Is: A Commitment Contract for Smoking Cessation",9
"10.1257/app.2.4.213",53,"6,62","2","Karlan, Dean","Put Your Money Where Your Butt Is: A Commitment Contract for Smoking Cessation",17
"10.1257/app.2.4.213",53,"6,62","3","Zinman, Jonathan","Put Your Money Where Your Butt Is: A Commitment Contract for Smoking Cessation",14
"10.1257/app.2.4.236",6,"0,75","1","Do, Quy-Toan","The Importance of Being Wanted",6
"10.1257/app.2.4.236",6,"0,75","2","Phung, Tung D.","The Importance of Being Wanted",1
"10.1257/app.2.4.42",15,"1,88","1","Edmonds, Eric V.","Trade Adjustment and Human Capital Investments: Evidence from Indian Tariff Reform",6
"10.1257/app.2.4.42",15,"1,88","2","Pavcnik, Nina","Trade Adjustment and Human Capital Investments: Evidence from Indian Tariff Reform",6
"10.1257/app.2.4.42",15,"1,88","3","Topalova, Petia","Trade Adjustment and Human Capital Investments: Evidence from Indian Tariff Reform",10
"10.1257/app.2.4.76",35,"4,38","1","Arcidiacono, Peter","Beyond Signaling and Human Capital: Education and the Revelation of Ability",7
"10.1257/app.2.4.76",35,"4,38","2","Bayer, Patrick","Beyond Signaling and Human Capital: Education and the Revelation of Ability",7
"10.1257/app.2.4.76",35,"4,38","3","Hizmo, Aurel","Beyond Signaling and Human Capital: Education and the Revelation of Ability",1
"10.1257/app.20120337",14,"2.8","1","Zinovyeva, Natalia","The Role of Connections in Academic Promotions",6
"10.1257/app.20120337",14,"2.8","2"," Bagues, Manuel","The Role of Connections in Academic Promotions",6
"10.1257/app.20120359",12,"2.4","1","Daysal, N. Meltem","Saving Lives at Birth: The Impact of Home Births on Infant Outcomes",3
"10.1257/app.20120359",12,"2.4","2"," Trandafir, Mircea","Saving Lives at Birth: The Impact of Home Births on Infant Outcomes",3
"10.1257/app.20120359",12,"2.4","3"," van Ewijk, Reyn","Saving Lives at Birth: The Impact of Home Births on Infant Outcomes",5
"10.1257/app.20120387",11,"2.2","1","Beland, Louis-Philippe","Political Parties and Labor-Market Outcomes: Evidence from US States",4
"10.1257/app.20130046",2,"0.4","1","Marshall, Guillermo","Hassle Costs and Price Discrimination: An Empirical Welfare Analysis",2
"10.1257/app.20130104",1,"0.2","1","Eizenberg, Alon","The Rise of Fringe Competitors in the Wake of an Emerging Middle Class: An Empirical Analysis",1
"10.1257/app.20130104",1,"0.2","2"," Salvo, Alberto","The Rise of Fringe Competitors in the Wake of an Emerging Middle Class: An Empirical Analysis",5
"10.1257/app.20130126",7,"1.4","1","Attanasio, Orazio P.","Should Cash Transfers Be Conditional? Conditionality, Preventive Care, and Health Outcomes",17
"10.1257/app.20130126",7,"1.4","2"," Oppedisano, Veruska","Should Cash Transfers Be Conditional? Conditionality, Preventive Care, and Health Outcomes",4
"10.1257/app.20130126",7,"1.4","3"," Vera-Hernandez, Marcos","Should Cash Transfers Be Conditional? Conditionality, Preventive Care, and Health Outcomes",9
"10.1257/app.20130267",7,"1.4","1","Beuermann, Diether W.","One Laptop per Child at Home: Short-Term Impacts from a Randomized Experiment in Peru",2
"10.1257/app.20130267",7,"1.4","2"," Cristia, Julian","One Laptop per Child at Home: Short-Term Impacts from a Randomized Experiment in Peru",4
"10.1257/app.20130267",7,"1.4","3"," Cueto, Santiago","One Laptop per Child at Home: Short-Term Impacts from a Randomized Experiment in Peru",7
"10.1257/app.20130267",7,"1.4","4"," Malamud, Ofer","One Laptop per Child at Home: Short-Term Impacts from a Randomized Experiment in Peru",8
"10.1257/app.20130267",7,"1.4","5"," Cruz-Aguayo, Yyannu","One Laptop per Child at Home: Short-Term Impacts from a Randomized Experiment in Peru",2
"10.1257/app.20130271",20,"4","1","Schaner, Simone","Do Opposites Detract? Intrahousehold Preference Heterogeneity and Inefficient Strategic Savings",2
"10.1257/app.20130272",35,"7","1","Augsburg, Britta","The Impacts of Microcredit: Evidence from Bosnia and Herzegovina",3
"10.1257/app.20130272",35,"7","2"," De Haas, Ralph","The Impacts of Microcredit: Evidence from Bosnia and Herzegovina",10
"10.1257/app.20130272",35,"7","3"," Harmgart, Heike","The Impacts of Microcredit: Evidence from Bosnia and Herzegovina",5
"10.1257/app.20130272",35,"7","4"," Meghir, Costas","The Impacts of Microcredit: Evidence from Bosnia and Herzegovina",18
"10.1257/app.20130327",35,"7","1","Royer, Heather","Incentives, Commitments, and Habit Formation in Exercise: Evidence from a Field Experiment with Workers at a Fortune-500 Company",9
"10.1257/app.20130327",35,"7","2"," Stehr, Mark","Incentives, Commitments, and Habit Formation in Exercise: Evidence from a Field Experiment with Workers at a Fortune-500 Company",6
"10.1257/app.20130327",35,"7","3"," Sydnor, Justin","Incentives, Commitments, and Habit Formation in Exercise: Evidence from a Field Experiment with Workers at a Fortune-500 Company",8
"10.1257/app.20130346",3,"0.75","1","Zinman, Jonathan","Wintertime for Deceptive Advertising?",18
"10.1257/app.20130346",3,"0.75","2"," Zitzewitz, Eric","Wintertime for Deceptive Advertising?",9
"10.1257/app.20130359",2,"0.4","1","Leonardi, Marco","The Effect of Product Demand on Inequality: Evidence from the United States and the United Kingdom",6
"10.1257/app.20130401",27,"5.4","1","Imbert, Clement","Labor Market Effects of Social Programs: Evidence from India's Employment Guarantee",11
"10.1257/app.20130401",27,"5.4","2"," Papp, John","Labor Market Effects of Social Programs: Evidence from India's Employment Guarantee",21
"10.1257/app.20130423",6,"1.2","1","Fack, Gabrielle","Improving College Access and Success for Low-Income Students: Evidence from a Large Need-Based Grant Program",5
"10.1257/app.20130423",6,"1.2","2"," Grenet, Julien","Improving College Access and Success for Low-Income Students: Evidence from a Large Need-Based Grant Program",4
"10.1257/app.20130442",29,"5.8","1","Cai, Jing","Social Networks and the Decision to Insure",4
"10.1257/app.20130442",29,"5.8","2"," De Janvry, Alain","Social Networks and the Decision to Insure",14
"10.1257/app.20130442",29,"5.8","3"," Sadoulet, Elisabeth","Social Networks and the Decision to Insure",14
"10.1257/app.20130475",33,"6.6","1","Tarozzi, Alessandro","The Impacts of Microcredit: Evidence from Ethiopia",12
"10.1257/app.20130475",33,"6.6","2"," Desai, Jaikishan","The Impacts of Microcredit: Evidence from Ethiopia",3
"10.1257/app.20130475",33,"6.6","3"," Johnson, Kristin","The Impacts of Microcredit: Evidence from Ethiopia",1
"10.1257/app.20130482",2,"0.4","1","Lang, Kevin","The Consequences of Teenage Childbearing before Roe v. Wade",9
"10.1257/app.20130482",2,"0.4","2"," Weinstein, Russell","The Consequences of Teenage Childbearing before Roe v. Wade",2
"10.1257/app.20130489",40,"8","1","Attanasio, Orazio","The Impacts of Microfinance: Evidence from Joint-Liability Lending in Mongolia",17
"10.1257/app.20130489",40,"8","2"," Augsburg, Britta","The Impacts of Microfinance: Evidence from Joint-Liability Lending in Mongolia",3
"10.1257/app.20130489",40,"8","3"," De Haas, Ralph","The Impacts of Microfinance: Evidence from Joint-Liability Lending in Mongolia",10
"10.1257/app.20130489",40,"8","4"," Fitzsimons, Emla","The Impacts of Microfinance: Evidence from Joint-Liability Lending in Mongolia",6
"10.1257/app.20130489",40,"8","5"," Harmgart, Heike","The Impacts of Microfinance: Evidence from Joint-Liability Lending in Mongolia",5
"10.1257/app.20130533",112,"22.4","1","Banerjee, Abhijit","The Miracle of Microfinance? Evidence from a Randomized Evaluation",19
