"","DOI","Title","Pages","Entry Questionnaire","AEJ Edition","Year","Expected Difficulty","Replicator","Completed","Replicated","Main Issue","Type of Missing Data","2nd Replicator","Completed_1","Replicated_1","Data Type","Data Access Type","Data Comments","worksheet"
"11","10.1257/app.4.2.98","The Impact of Credit on Village Economies",NA,"Yiwen","2012 vol. 4",2012,NA,"Yiwen","Y","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"12","10.1257/app.4.2.1","What Linear Estimators Miss: The Effects of Family Income on Child Outcomes",NA,"Yiwen","2012 vol. 4",2012,NA,"Yiwen","Y","No","Confidential Data","Confidential Data",NA,NA,NA,"administrative, national","formal access","data source is Statistics Norway, administrative registers","Spring2016 list"
"13","10.1257/app.4.4.165","The Power of Political Voice: Women's Political Representation and Crime in India",NA,"Yiwen","2012 vol. 4",2012,NA,"Yiwen","Y","Partial","Some results are inconsistent with the paper; table 8b not replicated because of confidential data",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"14","10.1257/app.4.4.121","Longer-Term Impacts of Mentoring, Educational Services, and Learning Incentives: Evidence from a Randomized Trial in the United States",NA,"Yiwen","2012 vol. 4",2012,NA,"Yiwen","Y","No","Confidential Data","Confidential Data",NA,NA,NA,"adminsitrative, national","informal access","Department of Labor and Office of Juvenile Justice and Delinquency Prevention, need to sign a confidentiality agreement  with Mathematica Policy Research","Spring2016 list"
"15","10.1257/app.4.3.64","Enforcement of Labor Regulation and Informality",NA,"Yiwen","2012 vol. 4",2012,NA,"Yiwen","Y","Partial","Failed to replicate the figures",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"16","10.1257/app.4.4.226","Access, Sorting, and Achievement: The Short-Run Effects of Free Primary Education in Kenya",NA,"Koonj","2012 vol. 4",2012,NA,"Koonj","Y","No",NA,NA,NA,NA,NA,"administrative, national","informal access","Data combined from different sources: KCPE records, 2005 Kenya Integrated Household Budget Survey (KIHBS) and
1997 Welfare Monitoring System (WMS) from Kenyan Bureau of Statistics","Spring2016 list"
"17","10.1257/app.4.1.212","Are Female Leaders Good for Education? Evidence from India",NA,"Koonj","2012 vol. 4",2012,NA,"Koonj","Y","No","Confidential Data","Confidential Data",NA,NA,NA,NA,NA,"Statistical Reports on the General Elections to the Legislative Assemblies","Spring2016 list"
"18","10.1257/app.4.1.109","When the Saints Go Marching Out: Long-Term Outcomes for Student Evacuees from Hurricanes Katrina and Rita",NA,"Koonj","2012 vol. 4",2012,NA,"Koonj","Y","No","Confidential Data","Confidential Data",NA,NA,NA,"administrative, regional","informal access","Need to email Dr Fen Chou (Fen Chou <Fen.Chou@LA.GOV>), source: National Student Clearinghouse","Spring2016 list"
"19","10.1257/app.4.4.32","Estimating the Deterrent Effect of Incarceration Using Sentencing Enhancements",NA,"Koonj","2012 vol. 4",2012,NA,"Koonj","Y","Partial","Many figures were not ever generated",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"20","10.1257/app.4.4.194","Deregulation, Consolidation, and Efficiency: Evidence from US Nuclear Power",NA,"Koonj","2012 vol. 4",2012,NA,"Koonj","Y","Yes","Only 2 figures were not replicated.",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"21","10.1257/app.4.3.167","Drug Innovations and Welfare Measures Computed from Market Demand: The Case of Anti-Cholesterol Drugs",NA,"Yang","2012 vol. 4",2012,NA,"Yang","Y","Partial","Unable to replication table 6, 5, A6, and A9. The first row of figure1 does not comply with the figure in the paper. The author does not specify his treatment on this outlier. The size of the dataset (800MB) makes it hard for troubleshooting",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"22","10.1257/app.4.3.138","High Unemployment Yet Few Small Firms: The Role of Centralized Bargaining in South Africa",NA,"Yang","2012 vol. 4",2012,NA,"Yang","Y","Partial","Unable to generate Appendix 2, Table 1-4, which are summary statistics; Unable to generate to Figure 3-6, which requires yearly_figs_simple_final to run without error",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"23","10.1257/app.4.3.1","Raising the Barcode Scanner: Technology and Productivity in the Retail Sector",NA,"Yang","2012 vol. 4",2012,NA,"Yang","Y","No","Confidential Data","Confidential Data",NA,NA,NA,"administrative, national","formal access","proprietary establishment- and firm-level data from the U.S. retail data housed at the Center for Economic Studies (CES)","Spring2016 list"
"24","10.1257/app.4.2.199","Indirect Effects of a Policy Altering Criminal Behavior: Evidence from the Italian Prison Experiment",NA,"Yang","2012 vol. 4",2012,NA,"Yang","Y","No","Confidential Data","Confidential Data",NA,NA,NA,"administrative, national","formal access","Department of Prison Administration (Dipartimento dell'Amministrazione Penitenziaria - DAP)","Spring2016 list"
"25","10.1257/app.4.2.36","What Makes Firm-based Vocational Training Schemes Successful? The Role of Commitment",NA,"Qianyan","2012 vol. 4",2012,NA,"Qianyan","Y","No",NA,NA,NA,NA,NA,"administrative, national","informal access","Federal Institute for Vocational Education and Training","Spring2016 list"
"26","10.1257/app.4.2.274","Castes and Labor Mobility",NA,"Qianyan","2012 vol. 4",2012,NA,"Qianyan","Y","No","Confidential Data","Confidential Data",NA,NA,NA,"administrative, national","formal access","NSS","Spring2016 list"
"27","10.1257/app.4.2.168","Productivity Spillovers Across Firms through Worker Mobility",NA,"Koonj","2012 vol. 4",2012,NA,"Koonj","Y","No","Confidential Data","Confidential Data",NA,NA,NA,"administrative, national","formal access","FIDA database complied and maintained by Statistics","Spring2016 list"
"28","10.1257/app.4.1.193","Do Expert Reviews Affect the Demand for Wine?",NA,"Koonj","2012 vol. 4",2012,NA,"Koonj","Y","No","Code Error",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"29","10.1257/app.4.4.94","Can Mobile Phones Improve Learning? Evidence from a Field Experiment in Niger",NA,"Noah","2012 vol. 4",2012,NA,"Noah","Y","Partial","Mostly replicated, but problems replicating values in parts of Tables 6, A3, and A6. Some minor confidential data.",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"30","10.1257/app.4.4.140","Limited Insurance within the Household: Evidence from a Field Experiment in Kenya",NA,"Noah","2012 vol. 4",2012,NA,"Noah","Y","Yes","Successful replication.",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"31","10.1257/app.4.3.90","When They're Sixty-Four: Peer Effects and the Timing of Retirement",NA,"Madeline","2012 vol. 4",2012,NA,"Madeline","Y","Partial","Table 3 columns 4-8 not replicating",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"32","10.1257/app.4.3.28","How Large Are the Effects from Temporary Changes in Family Environment: Evidence from a Child-Evacuation Program During World War II",NA,"Madeline","2012 vol. 4",2012,NA,"Madeline","Y","Partial","Table 2--data for one variable missing",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"33","10.1257/app.4.1.30","Partisan Grading",NA,"Noah","2012 vol. 4",2012,NA,"Noah","Y","No","Confidential Data","Confidential Data",NA,NA,NA,"private, other","informal access","data from anonymous university","Spring2016 list"
"34","10.1257/app.4.4.57","Can Compulsory Military Service Raise Civilian Wages? Evidence from the Peacetime Draft in Portugal",NA,"Noah","2012 vol. 4",2012,NA,"Noah","Y","No","Confidential Data","Confidential Data",NA,NA,NA,"administrative, national","formal access","“Quadros de Pessoal"" is a matched dataset of firms and their workers gathered by the Department of Statistics, Ministry of Employment, Portugal","Spring2016 list"
"35","10.1257/app.4.4.254","Are Big-Time Sports a Threat to Student Achievement?",NA,"Noah","2012 vol. 4",2012,NA,"Noah","Y","No","Confidential Data","Confidential Data",NA,NA,NA,"private, other","informal access","transcript-level student data from the University of Oregon.","Spring2016 list"
"36","10.1257/app.4.3.116","The Economic Benefits of Pharmaceutical Innovations: The Case of Cox-2 Inhibitors",NA,"Noah","2012 vol. 4",2012,NA,"Noah","Y","Partial","Missing Code",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"37","10.1257/app.4.1.85","School Desegregation and Urban Change: Evidence from City Boundaries",NA,"Noah","2012 vol. 4",2012,NA,"Noah","Y","Partial","Missing Code",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"38","10.1257/app.4.1.245","Enhancing Cognitive Functioning: Medium-Term Effects of a Health and Family Planning Program in Matlab",NA,"Noah","2012 vol. 4",2012,NA,"Noah","Y","No",NA,NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"39","10.1257/app.4.3.43","Sweetening the Deal? Political Connections and Sugar Mills in India",NA,"Madeline","2012 vol. 4",2012,NA,"Madeline","Y","Partial","Multiple columns slightly off",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"40","10.1257/app.4.2.219","The Effect of Shift Structure on Performance",NA,"Madeline","2012 vol. 4",2012,NA,"Madeline","Y","No","Proprietary data","Confidential Data",NA,NA,NA,"private, other","informal access","Mississippi Emergency Medical Services Information System (MEMSIS) data we use in the project, researchers will need to obtain the data on their own from the Office of Emergency Planning and Response at the Mississippi Department of Health in order to replicate our results. Oregon Office of Institutional Research.","Spring2016 list"
"41","10.1257/app.5.3.63","How Does the Market Use Citation Data? The Hirsch Index in Economics",NA,"Jose","2013 vol. 5",2013,NA,"Jose","Y","Partial","The Matlab script (MLE) takes too long",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"42","10.1257/app.5.1.193","Cognitive Abilities and Household Financial Decision Making",NA,"Jose","2013 vol. 5",2013,NA,"Jose","Y","Partial","Confidential Data","Confidential Data",NA,NA,NA,"private, other","informal access, commitment","The data used in this paper are strictly confidential. Researchers wishing to replicate the results should contact the authors at bmazumder@frbchi.org or ushakri@yahoo.com. We will make the data available on a stand‐alone computer in an office in the research department of the Federal Reserve Bank of Chicago located at 230 South La Salle street, Chicago, Illinois.","Spring2016 list"
"43","10.1257/app.2.3.205","Teacher Incentives",NA,"Jose","2010 vol. 2",2010,NA,"Jose","Y","Yes","Small modifications into do files.",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"44","10.1257/app.3.2.34","The Wrong Side(s) of the Tracks: The Causal Effects of Racial Segregation on Urban Poverty and Inequality",NA,"Jose","2011 vol. 2",2011,NA,"Jose","Y","Yes","No figures found on the replication",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"45","10.1257/app.3.2.196","The Price of Political Opposition: Evidence from Venezuela's Maisanta",NA,"Jose","2011 vol. 2",2011,NA,"Jose","Y","Yes","Not possible to replicate figures",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"46","10.1257/app.5.4.111","Employment, Wages, and Voter Turnout",NA,"Jack","2013 vol. 5",2013,NA,"Jack","Y","Partial","Confidential Data","Confidential Data",NA,NA,NA,"private, commercial entity","informal access, no commitment","we obtained the U.S. Congressional turnout data for 1992, 1996, and 2000 from a private company, Election Data Services, Inc. Under our contractual agreement, we cannot make these data publicly available.","Spring2016 list"
"47","10.1257/app.5.1.104","Barriers to Household Risk Management: Evidence from India",NA,"Jack","2013 vol. 5",2013,NA,"Jack","Y","Yes","All data was easily replicated. Unclear what 6b.do's purpose is.",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"48","10.1257/app.3.3.55","Financial Constraints and Inflated Home Prices during the Real Estate Boom",NA,"Jack","2011 vol. 2",2011,NA,"Jack","Y","No","Missing Code",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"49","10.1257/app.3.3.88","Low-Skilled Immigration and the Labor Supply of Highly Skilled Women",NA,"Koonj","2012 vol. 2",2011,NA,"Koonj","Y","Partial",NA,NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"50","10.1257/app.3.1.152","Are Restaurants Really Supersizing America?",NA,"Jack","2013 vol. 2",2011,NA,"Jack","Y","No","Confidential Data","Confidential Data",NA,NA,NA,"administrative, national","formal access","Hadley Climate Model 3 (Hadley 3) data from the British Atmospheric Data Centre (http://badc.nerc.ac.uk/home/) and NCAR Community Climate System Model (CCSM) 3 data from the World Climate Research Programme’s Coupled Model Intercomparison Project’s data portal (https://esg.llnl.gov:8443/index.jsp),","Spring2016 list"
"51","10.1257/app.2.2.164","Promoting Healthy Choices: Information versus Convenience",NA,"Yiwen","2010 vol. 2",2010,NA,"Yiwen","Y","Partial","Some results are not consistent with the paper",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"52","10.1257/app.2.1.86","Parents' Incomes and Children's Outcomes: A Quasi-experiment Using Transfer Payments from Casino Profits",NA,"Yiwen","2010 vol. 2",2010,NA,"Yiwen","Y","No","Proprietary data","Proprietary Data",NA,NA,NA,"private, commercial entity","informal access, no commitment","It is possible to gain access to the data itself while working in conjunction with the primary investigators of this research. The contact person is E. Jane Costello at Center for Developmental Epidemiology, Department of Psychiatry and Behavioral Sciences, Duke University Medical Center, Box 3454, Durham, NC 27710 (email: jcostell@psych.duhs.duke.edu).","Spring2016 list"
"53","10.1257/app.3.1.35","Transactional Sex as a Response to Risk in Western Kenya",NA,"Yiwen","2011 vol. 2",2011,NA,"Yiwen","Y","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"54","10.1257/app.5.2.151","Making Yourself Attractive: Pre-marital Investments and the Returns to Education in the Marriage Market",NA,"Yiwen","2013 vol. 5",2013,NA,"Yiwen","Y","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"55","10.1257/app.5.3.189","Teaching Practices and Social Capital",NA,"Koonj","2013 vol. 5",2013,NA,"Koonj","Y","Partial","Some results, especially standard errors, deviate from paper. REGMICROAEJ.do file misses several tables' worth of calculations, which are thus unreproducible.",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"56","10.1257/app.2.2.179","Disclosure by Politicians",NA,"Koonj","2010 vol. 2",2010,NA,"Koonj","Y","No","Missing Code",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"57","10.1257/app.5.4.92","Deterrence and Geographical Externalities in Auto Theft",NA,"Koonj","2013 vol. 5",2013,NA,"Koonj","Y","Yes","Took 5 days to run the program.",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"58","10.1257/app.3.1.224","Was There Really a Hawthorne Effect at the Hawthorne Plant? An Analysis of the Original Illumination Experiments",NA,"Koonj","2011 vol. 2",2011,NA,"Koonj","Y","Partial","Differed with other replicator. Unable to replicate table 4 and 5.",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"59","10.1257/app.2.4.200","Government Spending and Legislative Organization: Quasi-experimental Evidence from Germany",NA,"Koonj","2010 vol. 2",2010,NA,"Koonj","Y","Yes","Fully replicated all graphs and tables.",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"60","10.1257/app.5.2.86","Health, Height, Height Shrinkage, and SES at Older Ages: Evidence from China",NA,"Koonj","2013 vol. 5",2013,NA,"Koonj","Y","Partial","Improved results compared to previous replicator, but unable to replicate table 5.",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"61","10.1257/app.2.2.95","Ability, Gender, and Performance Standards: Evidence from Academic Probation",NA,"Koonj","2010 vol. 2",2010,NA,"Koonj","Y","Partial","Ended up replicating this twice; substantial problems with the main do file.",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"62","10.1257/app.2.4.42","Trade Adjustment and Human Capital Investments: Evidence from Indian Tariff Reform",NA,"Yiwen","2010 vol. 2",2010,NA,"Yiwen","Y","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"63","10.1257/app.3.3.29","Do Value-Added Estimates Add Value? Accounting for Learning Dynamics",NA,"Jose","2011 vol. 2",2011,NA,"Jose","Y","Yes","Code Error",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
"64","10.1257/app.5.4.206","The Impact of Intergovernmental Transfers on Education Outcomes and Povery Reduction",NA,"Jose","2013 vol. 5",2013,NA,"Jose","Y","Yes","Some difference in results",NA,NA,NA,NA,NA,NA,NA,"Spring2016 list"
