"","DOI","Title","Pages","Entry Questionnaire","AEJ Edition","Year","Expected Difficulty","Replicator","Completed","Replicated","Main Issue","Type of Missing Data","2nd Replicator","Completed_1","Replicated_1","Data Type","Data Access Type","Data Comments","Data URL","Data Contact","Start-time","End-time","Run-time for programs (minutes)","Estimated editing-time for programs, commits (minutes)","worksheet"
"21","10.1257/app.20130267","One Laptop per Child at Home: Short-Term Impacts from a Randomized Experiment in Peru",NA,"Completed","2015 vol. 7",2015,3,"Matthew","yes","partially","Confidential Data","confidential",NA,NA,NA,"input","public/private","the survey data is proprietary, but other data is provided independent of this data","https://www.aeaweb.org/aej/app/data/0702/2013-0267_data.zip",NA,NA,NA,NA,NA,"Spring2018"
"22","10.1257/app.20130442","Social Networks and the Decision to Insure",NA,"Completed","2015 vol. 7",2015,1,"Robert","yes","partially","some tables weren't produced by code",NA,NA,NA,NA,"input","public",NA,"https://www.aeaweb.org/aej/app/data/0702/2013-0442_data.zip",NA,"4/15, 9 pm","4/17, 9:50 pm","15 seconds for rawnet.do, about a minute for analysis.do","1h 40 min","Spring2018"
"23","10.1257/app.20130169","Regulatory Redistribution in the Market for Health Insurance",NA,"Completed","2015 vol. 7",2015,2,"Robert","yes","partially","a necessary dta file was missing for figure A1, and code was missing to output table 4","unknown",NA,NA,NA,"input and analysis","public",NA,"https://www.aeaweb.org/aej/app/data/0702/2013-0169_data.zip",NA,"4/25/2018 15:40:00","4/30/2018 14:47:00","2h 20 minutes; figure-producing files take a minute, tops, but the other files that need to be run take a while","120 minutes","Spring2018"
"24","10.1257/app.20130271","Do Opposites Detract? Intrahousehold Preference Heterogeneity and Inefficient Strategic Savings",NA,NA,"2015 vol. 7",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"25","10.1257/app.20140039","Legal Status and the Criminal Activity of Immigrants",NA,NA,"2015 vol. 7",2015,3,"Yu","yes","partially","Confidential Data","confidential",NA,NA,NA,"input","public/private","Department of Prison Administration (Dipartimento dell'Amministrazione Penitenziaria - DAP)",NA,NA,"4/30/18","4/30/18","2 minutes","~0","Spring2018"
"26","10.1257/app.20140010","Channeling Remittances to Education: A Field Experiment among Migrants from El Salvador",NA,NA,"2015 vol. 7",2015,2,"Yu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"27","10.1257/app.20130401","Labor Market Effects of Social Programs: Evidence from India's Employment Guarantee",NA,"Completed","2015 vol. 7",2015,1,"Robert","yes","no","Confidential Data","proprietary",NA,NA,NA,"input","commercially or freely available","more input data than could be described in the entry questionnaire","https://www.aeaweb.org/aej/app/data/0702/2013-0401_data.zip",NA,"4/30/18 3:10 PM","4/30/2018 15:30:00","0","10 minutes","Spring2018"
"28","10.1257/app.20120337","The Role of Connections in Academic Promotions",NA,"Completed","2015 vol. 7",2015,1,"Robert","yes","yes",NA,NA,NA,NA,NA,"analysis","public","two input data sources that could not be described in the questionnaire; can be found in appendix of article","https://www.aeaweb.org/aej/app/data/0702/2012-0337_data.zip",NA,"5/1/2018 20:30:00","5/1/2018 21:23:00","5 minutes","10 minutes","Spring2018"
"29","10.1257/app.20140185","Unintended Effects of Anonymous Résumés",NA,"Completed","2015 vol. 7",2015,1,"Robert","yes","partially","lots of bugs in the code: a mix of some I could (and did) debug, and ones that prevented me from reproducing several tables",NA,NA,NA,NA,"input","public",NA,"https://www.aeaweb.org/aej/app/data/0703/2014-0185_data.zip",NA,"5/3/2018 14:45:00","5/6/2018 20:18:00","5 minutes","40 minutes","Spring2018"
"30","10.1257/app.20120359","Saving Lives at Birth: The Impact of Home Births on Infant Outcomes",NA,"Completed","2015 vol. 7",2015,1,"Robert","yes","no","Confidential Data",NA,NA,NA,NA,"input","confidential",NA,"http://www.perinatreg.nl/home_english",NA,"5/6/2018 21:30:00","5/6/2018 22:00:00","N/A","10 minutes","Spring2018"
"31","10.1257/app.20130327","Incentives, Commitments, and Habit Formation in Exercise: Evidence from a Field Experiment with Workers at a Fortune-500 Company",NA,"Completed","2015 vol. 7",2015,1,"Robert","yes","no","Confidential Data","confidential",NA,NA,NA,"input","confidential",NA,"https://www.aeaweb.org/aej/app/data/0703/2013-0327_data.zip",NA,"5/8/2018 14:05:00","5/8/2018 14:20:00","N/A","10 minutes","Spring2018"
"32","10.1257/app.20130104","The Rise of Fringe Competitors in the Wake of an Emerging Middle Class: An Empirical Analysis",NA,"Completed","2015 vol. 7",2015,1,"Robert","yes","no","Confidential Data","proprietary",NA,NA,NA,"input","proprietary","only two of 18 input data sources could be described in entry questionnaire","https://www.aeaweb.org/aej/app/data/0703/2013-0104_data.zip",NA,"5/8/2018 14:25:00","5/8/2018 14:50:00","N/A","10 minutes","Spring2018"
"33","10.1257/app.20130046","Hassle Costs and Price Discrimination: An Empirical Welfare Analysis",NA,NA,"2015 vol. 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"34","10.1257/app.20140030","The Girl Next Door: The Effect of Opposite Gender Friends on High School Achievement",NA,NA,"2015 vol. 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"35","10.1257/app.20140162","The Effect of Income on Religiousness",NA,"Completed","2015 vol. 7",2015,1,"Robert","yes","partially","bugs in code I was unsure of how to debug",NA,NA,NA,NA,"input","public",NA,"https://www.aeaweb.org/aej/app/data/0703/2014-0162_data.zip",NA,"5/8/2018 15:20:00","5/14/2018 20:00:00","2 minutes","20 minutes","Spring2018"
"36","10.1257/app.20140201","Development from Representation? A Study of Quotas for the Scheduled Castes in India",NA,"Completed","2015 vol. 7",2015,2,"Robert","yes","partially","tables could not be checked because they were not outputted and I was unable to find them in log file",NA,NA,NA,NA,"input","public",NA,"https://www.aeaweb.org/aej/app/data/0703/2014-0201_data.zip",NA,"5/14/2018 20:00:00","5/15/18 4:20 PM","5 minutes","1h","Spring2018"
"37","10.1257/app.20130359","The Effect of Product Demand on Inequality: Evidence from the United States and the United Kingdom",NA,"Completed","2015 vol. 7",2015,1,"Robert",NA,NA,NA,NA,NA,NA,NA,"input","public","only two of the input datasets could be described in the survey, but there were more","https://www.aeaweb.org/aej/app/data/0703/2013-0359_data.zip",NA,"5/15/18 4:30 PM",NA,NA,"15 minutes","Spring2018"
"38","10.1257/app.20140062","The Effect of Access to College Assessments on Enrollment and Attainment",NA,NA,"2015 vol. 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"39","10.1257/app.20140352","Racial Discrimination in Grading: Evidence from Brazil",NA,NA,"2015 vol. 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"40","10.1257/app.20140022","Professors in Core Science Fields Are Not Always Biased against Women: Evidence from France",NA,NA,"2015 vol. 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"41","10.1257/app.20140184","Inputs in the Production of Early Childhood Human Capital: Evidence from Head Start",NA,NA,"2015 vol. 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"42","10.1257/app.20140111","The Judge, the Politician, and the Press: Newspaper Coverage and Criminal Sentencing across Electoral Systems",33,"Completed","2015 vol. 7",2015,2,"Gabriel","yes","partially","file paths need to be fixed in a large number of .do files",NA,NA,NA,NA,"input","public",NA,"https://www.aeaweb.org/aej/app/data/0704/2014-0111_data.zip",NA,NA,NA,"30 minutes","15 minutes","Spring2018"
"43","10.1257/app.20140044","Checklists and Worker Behavior: A Field Experiment",NA,NA,"2015 vol. 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"44","10.1257/app.20130482","The Consequences of Teenage Childbearing before Roe v. Wade",NA,NA,"2015 vol. 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"45","10.1257/app.20120387","Political Parties and Labor-Market Outcomes: Evidence from US States",NA,NA,"2015 vol. 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"46","10.1257/app.20140350","Trade Liberalization and Markup Dispersion: Evidence from China's WTO Accession",NA,NA,"2015 vol. 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
