"","Timestamp","NetID or email","DOI","Code_Success","Program_Run_Clean","Directory_Change","Code_Changes","Output_Accuracy","Discrepancy_Location","X10","X11","Software_Extensions","Software_Version","First_Replicator","Common_Issues","Overcome_Issues","Replication_Helpfulness","X18","X19","How difficult do you think the replication exercise was","Comments on difficulty","GeneralNotes","What Software did you use for the replication (including the version)","Replication_Success","Main_Issue","Data_Type","Data_Access_Type","Software_Type","Data_Type_1","Cost of data access (in approximate $)","Cost of software purchase (in approximate $)","What software did the authors use to run their programs (if specified)"
"11","8/7/2014 21:54:02","si75","10.1257/app.5.4.92","Yes","No, I needed to make changes in the code.","Yes",NA,"Yes",NA,NA,NA,"No","Yes","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","Would have been nice if they indicated how long the code would take to run, but strictly speaking, all necessary information was provided.",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","8/7/2014 22:28:46","si75","10.1257/app.5.4.241","Yes","No, I needed to make changes in the code.","Yes",NA,"Yes",NA,NA,NA,"No","Yes","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","8/10/2014 21:43:31","si75","10.1257/app.5.1.136","No",NA,NA,NA,NA,NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","8/10/2014 21:52:28","si75","10.1257/app.5.1.193","No",NA,NA,NA,NA,NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,5,"No dataset provided.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","6/4/2015 10:38:54","nab227","10.1257/app.5.2.29","Yes","No, I needed to make changes in the code.","Yes",NA,"Yes",NA,NA,NA,"DK","Yes","No","No","N/A. The previous replicator had no issues.",NA,"Complete. Provided all information required to run the programs.",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","6/6/2015 21:15:45","aec247","10.1257/app.5.2.29","Yes","Yes, no changes were necessary.",NA,NA,"Yes",NA,NA,NA,"No","DK","No",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","6/7/2015 14:18:41","sjh269","10.1257","Yes","No, I needed to make changes in the code.","Yes",NA,"Yes",NA,NA,NA,"No","DK","No","No","N/A. The previous replicator had no issues.",NA,"Complete. Provided all information required to run the programs.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","6/8/2015 12:19:12","yx77","10.1257/app.5.2.29","Yes","No, I needed to make changes in the code.","Yes",NA,"Yes",NA,NA,NA,"No","DK","No","No","N/A. The previous replicator had no issues.",NA,"Complete. Provided all information required to run the programs.",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","6/8/2015 14:03:59","yc769","10.1257/app.5.2.29","No",NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","N/A. The previous replicator had no issues.",NA,"Incomplete. Was ambiguous or left out crucial steps.",NA,3,NA,NA,"Stata13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","6/16/2015 16:33:40","aec247","10.1257/app.2.2.179","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","The ReadMe only notes that the data is given in 8 Excel tables.  The author does not provide any information on how the results in the paper were generated from the data.",4,"The author doesn't give any programs/code to replicate results.  The analysis doesn't look too complicated (mostly OLS regression and t-tests) but replication would be a lot easier if the author provided programs.",NA,"No programs were given – only the data.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","6/18/2015 13:47:06","yx77","10.1257/app.2.2.1","No",NA,NA,NA,NA,NA,NA,NA,"No","No","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","In the first longdiff folder, authors could have made more explanation on the different .do files",3,NA,NA,"STATAIC 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","6/22/2015 10:09:32","nab227","10.1257/app.2.1.149","Yes","No, I needed to make changes in the code.","Yes",NA,"Yes",NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,1,NA,"Very simple replication","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","6/22/2015 10:18:41","sjh269","10.1257/app.2.1.62","No",NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","Could have stated which dataset corresponded to which table in the paper",2,"Could not run program, had to look through code to see if I could find the problem/if I was missing something","None of the data was replicated because I came across the error ""varlist not allowed"". I tried searching the error, but could not find a solution","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","6/22/2015 13:01:03","yc769","10.1257/app.2.4.76","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.",NA,"Yes",NA,NA,NA,"No","Yes","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,1,"No","One of the tables cannot be reproduced on CISER server possibly due to computation capacity. The code that produce the fifth table in this paper runs for indefinite time on the CISER server I used.","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","6/23/2015 19:35:29","sjh269","10.1257/app.2.1.62","No",NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","It'd be easier if there were less than 21 .do files.",5,"Unable to replicate","The whole replication exercise relied on first creating analysis files and then using them to recreate the tables, however it was unclear/impossible how/where to get the files to create these analysis files.","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","6/25/2015 14:27:35","yx77","10.1257/app.2.4.42","No",NA,NA,NA,NA,NA,NA,NA,"No","No","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,3,NA,NA,"stata 11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","6/28/2015 12:08:55","aec247","10.1257/app.2.1.33","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.",NA,"Yes",NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","The programs for tables 5 and 6 were broken out into panels, and some information on table 5 was taken from table 3.  The authors could have been clearer about the structure of their code and which parts of the tables they were creating.",3,"The authors did not provide any code to replicate table 7 or to reproduce figure 2 (only provided the estimates for figure 2 in the form of a table).  The authors also did not provide raw data or the specific source of the data that produced figure 1 and table 1.","Code_Changes :  Had to insert ""# delimit;"" on line 130 before running the program to produce table.

Was only able to replicate the first column of tables 5 and 6 Panel C.","Stata 13.  The programs required outreg2 but I didn't have to install it...",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","6/28/2015 20:21:22","nab227","10.1257/app.2.2.95","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.",NA,"Yes",NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,2,NA,NA,"Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","6/29/2015 10:36:03","yc769","10.1257/app.2.2.72","No",NA,NA,NA,NA,NA,NA,NA,"No","No","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","None",4,"Yes,

Initially, I didn't try to obtain the NSS data sets, because it is clearly indicated where I can retrieve them from NBER.

However, it seems that the retrieval is not as easy as I imagined, the dataset is not googlable, and cannot be found at NBER, also, the person indicated cannot be reached.","Dataset not available for full replication","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","6/30/2015 13:47:20","aec247","10.1257/app.2.3.96","No",NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,5,NA,"Data is proprietary; can only access the data through the Upjohn Institute by either submitting programs for research assistants to run or by working with the data on the Institute's premises.  The ReadMe provides contact info.","Couldn't run programs because data is proprietary (not posted with article).",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","6/30/2015 18:25:39","aec247","10.1257/app.2.3.190","Yes","No, I needed to make changes in the code.","Yes","Very minor – mostly filepath changes and commenting out a line of text.","Yes",NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,1,"Replication went very smoothly.  No major errors or inconsistencies.  Only had to change filepaths.","Output from all the regressions are long, so you need to scroll through to find the info in the tables.","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","6/30/2015 18:26:44","nab227","10.1257/app.2.3.22","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.","The programs wouldn't run until I used outreg2 instead of outreg","Yes",NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","The author's program only created output files for some of the tables.  I had to look through the whole log file to find the other tables.",2,NA,NA,"Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","7/1/2015 22:10:21","yx77","10.1257/app.2.1.193","No",NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","No","The data source was not included","Complete. Provided all information required to run the programs.",NA,2,NA,NA,"stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","7/1/2015 22:54:39","yx77","10.1257/app.2.4.200","Yes","No, I needed to make changes in the code.","Yes",NA,"Yes",NA,NA,NA,"No","No","No","No","N/A. The previous replicator had no issues.",NA,"Complete. Provided all information required to run the programs.",NA,4,NA,NA,"stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","7/2/2015 11:25:17","nab227","10.1257/app.2.3.205","No",NA,NA,NA,NA,NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","The instructions required many programs to be run to replicate each part of each table.",4,"There were a lot of programs included but this was more difficult because the programs would not run correctly even after making some modifications","I eventually modified a program so that it would run but then the results didn't match the article.","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","7/2/2015 11:45:33","aec247","10.1257/app.2.3.228","No",NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,5,"No dataset provided for confidentiality reasons.  Unable to replicate any tables.","Seems like only the authors have access to the data.  No mention of the possibility of accessing data for replication purposes.","Stata 13; no dataset provided to run the program.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","7/2/2015 14:36:14","aec247","10.1257/app.2.2.164","Yes","No, I needed to make changes in the code.","Yes","Added ""SPLIT FILE OFF."" after a few code chunks so that I could go back and forth between working with the split data and the full dataset.","No, some of the numbers are different.","Table 4 columns 1, 3, 5.  The F-stat in column 1 was 3.81 in the SPSS output, but 6.75 in the paper.  The estimates for columns 3 and 5 were completely different during the replication because the authors omitted outliers in their analysis, but did not indicate which ones.",NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","It would have been easier to run everything if the code had been in a script rather than broken out into chunks on the ReadMe.",3,NA,NA,"SPSS Statistics Version 22",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","7/6/2015 9:46:46","sjh269","10.1257/app.2.2.118","Yes","No, I needed to make changes in the code.","Yes","Set the working directory and deleted the first line of the .do file because of unreadable symbols","No, some of the numbers are different.","Upper half of Table 1, Panel B on page 124

The numbers in the output log were accurate except off by a magnitude of 10e-5",NA,NA,"No","Yes","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","Nothing.",1,"Everything went smoothly, two minor changes to the .do file to make it run","Very easy to replicate, especially since each table had its own separate output log file.","I used Stata 13, and the author used Stata 10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","7/6/2015 13:22:36","sjh269","10.1257/app.2.1.165","No",NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","The result log files made it very hard to extract the table results because I had to scroll through ~200 lines to get to each relevant line",5,"Many different .do files, difficult to extract table results. There were some unclear instructions in the beginning, causing some .do files to not run","The data that was replicated was accurate, but about half of the tables could not be replicated because the initial dataset couldn't properly be produced","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","7/7/2015 16:16:36","nab227","10.1257/app.2.4.150","No",NA,NA,NA,NA,NA,NA,NA,"DK","Yes","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","I could not open the readme for tables 5 and 6.",3,NA,"I could replicate everything that required using stata but I couldn't get the SAS programs required to replicate 2 tables to work. The provided SAS output files for these tables matched the article though.","Stata 13, SAS 9.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","7/9/2015 21:28:36","yx77","10.1257/app.2.4.177","No",NA,NA,NA,NA,NA,NA,NA,"No","No","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,1,NA,NA,"stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","7/9/2015 21:30:34","yx77","10.1257/app.2.1.116","Yes","No, I needed to make changes in the code.","Yes",NA,"Yes",NA,NA,NA,"No","Yes","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,4,NA,NA,"stata/mp version 9.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","7/12/2015 19:26:42","nab227","10.1257/app.2.3.256","No",NA,NA,NA,NA,NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","The instructions seemed clear but I was not able to follow the instructions to create the input data",4,NA,"I could not get the input data that was required to run the programs.","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","7/13/2015 9:50:43","yc769","10.1257/app.2.3.46","No",NA,NA,NA,NA,NA,NA,NA,"DK","DK","No","No","N/A. The previous replicator had no issues.",NA,"Incomplete. Was ambiguous or left out crucial steps.",NA,5,"In my reading, I find it basically impossible to replicate this paper.","No data is distributed in attached file. The readme file almost describes all the required dataset as confidential or requiring formal request to obtain.","Supposedly Stata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","7/13/2015 10:07:48","sjh269","10.1257/app.2.2.147","No",NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"No readme file was provided.","No data was provided",5,"No data was provided",NA,"No data was provided",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","7/13/2015 10:25:09","sjh269","10.1257/app.2.1.211","No",NA,NA,NA,NA,NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,5,"Needed to request dataset to run the programs",NA,"Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","7/14/2015 9:46:30","sjh269","10.1257/app.2.1.86","No",NA,NA,NA,NA,NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,5,"The data is proprietary","The readme file says that .do files are provided, however they are in .txt format","Did not replicate, but would've used Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","7/14/2015 16:21:00","nab227","10.1257/app.2.2.210","No",NA,NA,NA,NA,NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","readme instructions referred to files that were not provided.",5,NA,"readme said to use data in the provided data folder but no data was provided.","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","7/14/2015 17:13:07","nab227","10.1257/app.2.3.158","No",NA,NA,NA,NA,NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,5,NA,"No programs or data were provided, just a note saying that the data is confidential and giving instructions on how to apply for access.","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","7/20/2015 10:35:46","yx77","10.1257/app.2.4.105","No",NA,NA,NA,NA,NA,NA,NA,"No","No","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","7/20/2015 10:37:32","yx77","10.1257/app.2.4.128","No",NA,NA,NA,NA,NA,NA,NA,"No","No","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.",NA,4,NA,"It took a long time to download the dataset file and I couldn't unzip the zip file neither.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","7/20/2015 10:44:00","sjh269","10.1257/app.2.2.46","No",NA,NA,NA,NA,NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,5,"Data was not provided, had to request it",NA,"Could not run",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","7/20/2015 20:10:13","sjh269","10.1257/app.2.4.150","No",NA,NA,NA,NA,NA,NA,NA,"No","DK","No","Yes","No","Previous replicator's notes were thorough. I was able to open the readme for tables 6 and 7 but right clicking the file and clicking on the ""Edit with Notepad++"" option, and the previous replicator could not open the readme file. Also, I could not find the replicated results of Table 3 in the appendix","Incomplete. Was ambiguous or left out crucial steps.",NA,4,"Two tables would not run in SAS, but the output was already provided. There wasn't an output for one of the tables.",NA,"Stata 13
SAS 9.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","7/21/2015 12:31:03","sjh269","10.1257/app.2.1.116","No",NA,NA,NA,NA,NA,NA,NA,"DK","Yes","No","Yes","No","I had different errors, I couldn't produce any results, whereas the previous replicator produced partial results","Incomplete. Was ambiguous or left out crucial steps.",NA,5,"I could not replicate any of the data in the paper",NA,"Stata 13
SAS 9.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","7/21/2015 19:03:10","sjh269","10.1257/app.2.4.128","No",NA,NA,NA,NA,NA,NA,NA,"DK","Yes","No","No","No","There were no previous replication notes. I documented the problems that I ran into in replication.txt","Incomplete. Was ambiguous or left out crucial steps.",NA,5,"There was an unresolvable error in the code that created the dataset from raw data, so none of the results were able to be replicated.",NA,"Stata 13
SAS 9.4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","7/23/2015 23:52:56","yx77","10.1257/app.2.1.62","Yes","No, I needed to make changes in the code.","Yes",NA,"Yes",NA,NA,NA,"No","No","No","Yes","No",NA,"Complete. Provided all information required to run the programs.",NA,4,NA,NA,"stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","7/23/2015 23:56:23","yx77","10.1257/app.2.1.33","Yes","No, I needed to make changes in the code.","Yes","used the -cd- commands to set the working directory
","No, some of the numbers are different.","table 5 & 6 , panel C only had the first column shown, the other columns values are missing",NA,NA,"No","No","No","Yes","No",NA,"Incomplete. Was ambiguous or left out crucial steps.","Data and code for figure 1 and 7 were totally missing",4,NA,NA,"stat13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","7/25/2015 15:23:40","nab227","10.1257/app.2.2.118","No",NA,NA,NA,NA,NA,NA,NA,"DK","Yes","No","Yes","N/A. The previous replicator had no issues.","weren't any issues","Complete. Provided all information required to run the programs.",NA,2,NA,"Everything was replicated except for one table that required unavailable data.","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","7/26/2015 23:58:00","aec247","10.1257/app.2.4.76","Yes","Yes, no changes were necessary.",NA,NA,"Yes",NA,NA,NA,"No","DK","No","Yes","Yes","The previous replicator (Charley) and I ran into similar problems; had trouble reproducing Table 5 and the bootstrap simulation took a very long time.  I was able to reproduce 4 out of 6 columns in Table 5.","Complete. Provided all information required to run the programs.","Would have been helpful for the author to give an estimate of the running time for the bootstrap simulation.",2,"Didn't expect the bootstrap to take so long; wasn't able to reproduce part of Table 5.","Was able to replicate all tables except for Table 5, columns 5 and 6.","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","7/27/2015 10:32:28","nab227","10.1257/app.2.1.165","Yes","Yes, no changes were necessary.",NA,NA,"Yes",NA,NA,NA,"DK","DK","No","Yes","No",NA,"Complete. Provided all information required to run the programs.",NA,3,NA,"I could run the programs using the prepared analysis data that was provided.  I couldn't manage to follow the instructions to create those data files from the raw data provided.","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","7/29/2015 10:32:36","nab227","10.1257/app.3.1.101","No",NA,NA,NA,NA,NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,5,NA,"Data was not available so the article could not be replicated","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","7/29/2015 13:24:21","aec247","10.1257/app.3.2.119","Yes","Yes, no changes were necessary.",NA,NA,"Yes",NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,1,NA,"There were lots of results for alternative experiments and footnotes that were not presented in the paper.","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","7/29/2015 18:49:46","nab227","10.1257/app.3.1.129","Yes","No, I needed to make changes in the code.","Yes",NA,"Yes",NA,NA,NA,"DK","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,1,"Only very simple code changes were needed and everything worked without problems.",NA,"Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","7/29/2015 20:45:49","yx77","10.1257/app.3.1.189","No",NA,NA,NA,NA,NA,NA,NA,"No","No","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,5,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","7/29/2015 21:31:25","sjh269","10.1257/app.3.1.1","No",NA,NA,NA,NA,NA,NA,NA,"Yes","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","It seems like a folder was missing",5,"Some necessary files were not provided","Needed to install a program from a website in order to use the function ""margfx"", but the link to the program didn't work","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","7/29/2015 21:58:06","yx77","10.1257/app.3.1.224","Yes","No, I needed to make changes in the code.","Yes",NA,"Yes",NA,NA,NA,"No","No","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,2,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","7/29/2015 23:08:15","sjh269","10.1257/app.3.1.35","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,5,"Code error: varlist not allowed",NA,"Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","7/30/2015 12:44:53","yx77","10.1257/app.3.1.239","No",NA,NA,NA,NA,NA,NA,NA,"No","No","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,3,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","7/30/2015 15:29:54","yx77","10.1257/app.3.2.1","No",NA,NA,NA,NA,NA,NA,NA,"No","No","Yes",NA,NA,NA,"No readme file was provided.",NA,3,NA,NA,"sas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","7/30/2015 15:50:58","aec247","10.1257/app.3.3.124","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.","Commented out a few lines with unrecognized commands ""lk"" and ""jk""","Yes",NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","Would have been helpful to have a brief summary of which tables each .do file would replicate.  Output was a mix of tables in the paper and tables in the appendix.",1,NA,"Wasn't able to find code/output for a few tables in the appendix.","Stata 13",NA,NA,NA,NA,NA,NA,NA,NA,NA
