"","Title","Assignment","Authors","Author 1","Author 2","Author 3","Author 4","Author 5","Author 6","Author 7","h_index (Author 1)","h_index (Author 2)","h_index (Author 3)","h_index (Author 4)","h_index (Author 5)","h_index (Author 6)","h_index (Author 7)","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","Citations Y","Citations Y+1","Citations Y+2","Citations Y+3","worksheet"
"14","Was There Really a Hawthorne Effect at the Hawthorne Plant? An Analysis of the Original Illumination Experiments","gab99","Levitt, Steven D.; List, John A.","Levitt, Steven D.","List, John A.",NA,NA,NA,NA,NA,14,19,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2011",2011,3,1,NA,NA,NA,224,238,NA,"10.1257/app.3.1.224",NA,NA,69,8.63,0,0,3,4,10,9,8,8,17,10,3,4,10,9,"CitationsSpring2019"
"15","Microcredit Impacts: Evidence from a Randomized Microcredit Program Placement Experiment by Compartamos Banco","gab99","Angelucci, Manuela; Karlan, Dean; Zinman, Jonathan","Angelucci, Manuela","Karlan, Dean","Zinman, Jonathan",NA,NA,NA,NA,9,25,18,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2015",2015,7,1,NA,NA,NA,151,182,NA,"10.1257/app.20130537",NA,NA,40,10,0,0,0,0,0,0,6,7,17,10,6,7,17,10,"CitationsSpring2019"
"16","The Impacts of Microfinance: Evidence from Joint-Liability Lending in Mongolia","gab99","Attanasio, Orazio; Augsburg, Britta; De Haas, Ralph; Fitzsimons, Emla; Harmgart, Heike","Attanasio, Orazio","Augsburg, Britta","De Haas, Ralph","Fitzsimons, Emla","Harmgart, Heike",NA,NA,17,3,10,6,5,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2015",2015,7,1,NA,NA,NA,90,122,NA,"10.1257/app.20130489",NA,NA,35,8.75,0,0,0,0,0,0,7,6,12,10,7,6,12,10,"CitationsSpring2019"
"17","Do Opposites Detract? Intrahousehold Preference Heterogeneity and Inefficient Strategic Savings","gab99","Schaner, Simone","Schaner, Simone",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2015",2015,7,2,NA,NA,NA,135,174,NA,"10.1257/app.20130271",NA,NA,19,4.75,0,0,0,0,0,0,3,3,7,6,3,3,7,6,"CitationsSpring2019"
"18","Do Social Connections Reduce Moral Hazard? Evidence from the New York City Taxi Industry","gab99","Jackson, C. Kirabo; Schneider, Henry S.","Jackson, C. Kirabo","Schneider, Henry S.",NA,NA,NA,NA,NA,10,4,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2011",2011,3,3,NA,NA,NA,244,267,NA,"10.1257/app.3.3.244",NA,NA,17,2.13,0,0,1,0,1,1,1,1,9,3,1,0,1,1,"CitationsSpring2019"
"19","Saving Lives at Birth: The Impact of Home Births on Infant Outcomes","gab99","Daysal, N. Meltem; Trandafir, Mircea; van Ewijk, Reyn","Daysal, N. Meltem","Trandafir, Mircea","van Ewijk, Reyn",NA,NA,NA,NA,3,3,5,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2015",2015,7,3,NA,NA,NA,28,50,NA,"10.1257/app.20120359",NA,NA,11,2.75,0,0,0,0,0,0,0,3,3,5,0,3,3,5,"CitationsSpring2019"
"20","The Effect of Access to College Assessments on Enrollment and Attainment","gab99","Bulman, George","Bulman, George",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2015",2015,7,4,NA,NA,NA,1,36,NA,"10.1257/app.20140062",NA,NA,10,2.5,0,0,0,0,0,0,0,1,6,3,0,1,6,3,"CitationsSpring2019"
"21","One Laptop per Child at Home: Short-Term Impacts from a Randomized Experiment in Peru","gab99","Beuermann, Diether W.; Cristia, Julian; Cueto, Santiago; Malamud, Ofer; Cruz-Aguayo, Yyannu","Beuermann, Diether W.","Cristia, Julian","Cueto, Santiago","Malamud, Ofer","Cruz-Aguayo, Yyannu",NA,NA,2,4,7,7,2,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2015",2015,7,2,NA,NA,NA,53,80,NA,"10.1257/app.20130267",NA,NA,6,1.5,0,0,0,0,0,0,0,1,3,2,0,1,3,2,"CitationsSpring2019"
"22","Regulatory Redistribution in the Market for Health Insurance","gab99","Clemens, Jeffrey","Clemens, Jeffrey",NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2015",2015,7,2,NA,NA,NA,109,134,NA,"10.1257/app.20130169",NA,NA,6,1.5,0,0,0,0,0,0,0,1,2,3,0,1,2,3,"CitationsSpring2019"
"23","The Consequences of Teenage Childbearing before Roe v. Wade","gab99","Lang, Kevin; Weinstein, Russell","Lang, Kevin","Weinstein, Russell",NA,NA,NA,NA,NA,9,2,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2015",2015,7,4,NA,NA,NA,169,197,NA,"10.1257/app.20130482",NA,NA,2,0.5,0,0,0,0,0,0,0,0,1,1,0,0,1,1,"CitationsSpring2019"
"24","Hassle Costs and Price Discrimination: An Empirical Welfare Analysis","gab99","Marshall, Guillermo","Marshall, Guillermo",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2015",2015,7,3,NA,NA,NA,123,146,NA,"10.1257/app.20130046",NA,NA,2,0.5,0,0,0,0,0,0,0,0,0,2,0,0,0,2,"CitationsSpring2019"
"25","Learning about an Infrequent Event: Evidence from Flood Insurance Take-Up in the United States","gab99","Gallagher, Justin","Gallagher, Justin",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2014",2014,6,3,NA,NA,NA,206,233,NA,"10.1257/app.6.3.206",NA,NA,41,8.2,0,0,0,0,0,0,1,4,16,20,0,1,4,16,"CitationsSpring2019"
"26","The Historically Evolving Impact of the Ogallala Aquifer: Agricultural Adaptation to Groundwater and Drought","gab99","Hornbeck, Richard; Keskin, Pinar","Hornbeck, Richard","Keskin, Pinar",NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2014",2014,6,1,NA,NA,NA,190,219,NA,"10.1257/app.6.1.190",NA,NA,31,6.2,0,0,0,0,0,1,4,6,8,12,1,4,6,8,"CitationsSpring2019"
"27","The Great Equalizer: Health Care Access and Infant Mortality in Thailand","gab99","Gruber, Jonathan; Hendren, Nathaniel; Townsend, Robert M.","Gruber, Jonathan","Hendren, Nathaniel","Townsend, Robert M.",NA,NA,NA,NA,18,6,11,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2014",2014,6,1,NA,NA,NA,91,107,NA,"10.1257/app.6.1.91",NA,NA,25,5,0,0,0,0,0,3,5,5,6,5,3,5,5,6,"CitationsSpring2019"
"28","How Do Teachers Improve? The Relative Importance of Specific and General Human Capital","jjp282","Ost, Ben","Ost, Ben",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2014",2014,6,2,NA,NA,NA,127,151,NA,"10.1257/app.6.2.127",NA,NA,22,4.4,0,0,0,0,0,0,6,5,5,6,0,6,5,5,"CitationsSpring2019"
"29","Default Tips","jjp282","Haggag, Kareem; Paci, Giovanni","Haggag, Kareem","Paci, Giovanni",NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2014",2014,6,3,NA,NA,NA,1,19,NA,"10.1257/app.6.3.1",NA,NA,20,4,0,0,0,0,0,0,1,5,8,6,0,1,5,8,"CitationsSpring2019"
"30","Awarding Price, Contract Performance, and Bids Screening: Evidence from Procurement Auctions","jjp282","Decarolis, Francesco","Decarolis, Francesco",NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2014",2014,6,1,NA,NA,NA,108,132,NA,"10.1257/app.6.1.108",NA,NA,20,4,0,0,0,0,0,1,2,4,6,7,1,2,4,6,"CitationsSpring2019"
"31","Effects of School Quality on Student Achievement: Discontinuity Evidence from Kenya","jjp282","Lucas, Adrienne M.; Mbiti, Isaac M.","Lucas, Adrienne M.","Mbiti, Isaac M.",NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2014",2014,6,3,NA,NA,NA,234,263,NA,"10.1257/app.6.3.234",NA,NA,18,3.6,0,0,0,0,0,1,3,3,4,7,1,3,3,4,"CitationsSpring2019"
"32","Improving Educational Quality through Enhancing Community Participation: Results from a Randomized Field Experiment in Indonesia","jjp282","Pradhan, Menno; Suryadarma, Daniel; Beatty, Amanda; Wong, Maisy; Gaduh, Arya; Alisjahbana, Armida; Artha, Rima Prama","Pradhan, Menno","Suryadarma, Daniel","Beatty, Amanda","Wong, Maisy","Gaduh, Arya","Alisjahbana, Armida","Artha, Rima Prama",8,7,6,4,3,3,1,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2014",2014,6,2,NA,NA,NA,105,126,NA,"10.1257/app.6.2.105",NA,NA,16,3.2,0,0,0,0,0,0,0,5,7,4,0,0,5,7,"CitationsSpring2019"
"33","Should Aid Reward Performance? Evidence from a Field Experiment on Health and Education in Indonesia","jjp282","Olken, Benjamin A.; Onishi, Junko; Wong, Susan","Olken, Benjamin A.","Onishi, Junko","Wong, Susan",NA,NA,NA,NA,19,4,1,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2014",2014,6,4,NA,NA,NA,1,34,NA,"10.1257/app.6.4.1",NA,NA,15,3,0,0,0,0,0,0,2,3,4,6,0,2,3,4,"CitationsSpring2019"
"34","Team Incentives for Education in Developing Countries: A Randomized Field Experiment in Benin","jjp282","Blimpo, Moussa P.","Blimpo, Moussa P.",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2014",2014,6,4,NA,NA,NA,90,109,NA,"10.1257/app.6.4.90",NA,NA,10,2,0,0,0,0,0,0,3,4,1,2,0,3,4,1,"CitationsSpring2019"
"35","The Demand for Medical Male Circumcision","jjp282","Chinkhumba, Jobiba; Godlonton, Susan; Thornton, Rebecca","Chinkhumba, Jobiba","Godlonton, Susan","Thornton, Rebecca",NA,NA,NA,NA,9,6,16,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2014",2014,6,2,NA,NA,NA,152,177,NA,"10.1257/app.6.2.152",NA,NA,10,2,0,0,0,0,0,1,1,5,0,3,1,1,5,0,"CitationsSpring2019"
"36","Soil Endowments, Female Labor Force Participation, and the Demographic Deficit of Women in India","jjp282","Carranza, Eliana","Carranza, Eliana",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2014",2014,6,4,NA,NA,NA,197,225,NA,"10.1257/app.6.4.197",NA,NA,9,1.8,0,0,0,0,0,0,2,1,3,3,0,2,1,3,"CitationsSpring2019"
"37","Demand Spillovers, Combative Advertising, and Celebrity Endorsements","jjp282","Garthwaite, Craig L.","Garthwaite, Craig L.",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2014",2014,6,2,NA,NA,NA,76,104,NA,"10.1257/app.6.2.76",NA,NA,8,1.6,0,0,0,0,0,0,1,3,3,1,0,1,3,3,"CitationsSpring2019"
"38","Private and Public Provision of Counseling to Job Seekers: Evidence from a Large Controlled Experiment","jjp282","Behaghel, Luc; Crepon, Bruno; Gurgand, Marc","Behaghel, Luc","Crepon, Bruno","Gurgand, Marc",NA,NA,NA,NA,6,7,6,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2014",2014,6,4,NA,NA,NA,142,174,NA,"10.1257/app.6.4.142",NA,NA,6,1.2,0,0,0,0,0,0,0,3,1,2,0,0,3,1,"CitationsSpring2019"
"39","Citizenship, Fertility, and Parental Investments","jjp282","Avitabile, Ciro; Clots-Figueras, Irma; Masella, Paolo","Avitabile, Ciro","Clots-Figueras, Irma","Masella, Paolo",NA,NA,NA,NA,3,6,5,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2014",2014,6,4,NA,NA,NA,35,65,NA,"10.1257/app.6.4.35",NA,NA,5,1,0,0,0,0,0,0,0,1,2,2,0,0,1,2,"CitationsSpring2019"
"40","Persistence of Population Shocks: Evidence from the Occupation of West Germany after World War II","jjp282","Schumann, Abel","Schumann, Abel",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2014",2014,6,3,NA,NA,NA,189,205,NA,"10.1257/app.6.3.189",NA,NA,4,0.8,0,0,0,0,0,0,0,1,2,1,0,0,1,2,"CitationsSpring2019"
"41","The Distributive Impacts of Financial Development: Evidence from Mortgage Markets during US Bank Branch Deregulation","jjp282","Tewari, Ishani","Tewari, Ishani",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2014",2014,6,4,NA,NA,NA,175,196,NA,"10.1257/app.6.4.175",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CitationsSpring2019"
"42","The Miracle of Microfinance? Evidence from a Randomized Evaluation","jjp282","Banerjee, Abhijit; Duflo, Esther; Glennerster, Rachel; Kinnan, Cynthia","Banerjee, Abhijit","Duflo, Esther","Glennerster, Rachel","Kinnan, Cynthia",NA,NA,NA,30,37,12,2,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2015",2015,7,1,NA,NA,NA,22,53,NA,"10.1257/app.20130533",NA,NA,102,25.5,0,0,0,0,0,0,12,21,34,34,12,21,34,41,"CitationsSpring2019"
"43","Low-Skilled Immigration and the Labor Supply of Highly Skilled Women","jjp282","Cortes, Patricia; Tessada, Jose","Cortes, Patricia","Tessada, Jose",NA,NA,NA,NA,NA,13,3,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2011",2011,3,3,NA,NA,NA,88,123,NA,"10.1257/app.3.3.88",NA,NA,67,8.38,0,0,0,4,8,9,15,9,11,11,0,4,8,9,"CitationsSpring2019"
"44","Marrying Up: The Role of Sex Ratio in Assortative Matching","jjp282","Abramitzky, Ran; Delavande, Adeline; Vasconcelos, Luis","Abramitzky, Ran","Delavande, Adeline","Vasconcelos, Luis",NA,NA,NA,NA,8,11,4,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2011",2011,3,3,NA,NA,NA,124,157,NA,"10.1257/app.3.3.124",NA,NA,51,6.38,0,0,0,1,9,5,10,5,10,11,0,1,9,5,"CitationsSpring2019"
"45","Estimating the Impact of Microcredit on Those Who Take It Up: Evidence from a Randomized Experiment in Morocco","jjp282","Crepon, Bruno; Devoto, Florencia; Duflo, Esther; Pariente, William","Crepon, Bruno","Devoto, Florencia","Duflo, Esther","Pariente, William",NA,NA,NA,7,5,37,4,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2015",2015,7,1,NA,NA,NA,123,150,NA,"10.1257/app.20130535",NA,NA,44,11,0,0,0,0,0,0,9,8,14,13,9,8,14,15,"CitationsSpring2019"
"46","Incentives, Commitments, and Habit Formation in Exercise: Evidence from a Field Experiment with Workers at a Fortune-500 Company","jjp282","Royer, Heather; Stehr, Mark; Sydnor, Justin","Royer, Heather","Stehr, Mark","Sydnor, Justin",NA,NA,NA,NA,9,6,8,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2015",2015,7,3,NA,NA,NA,51,84,NA,"10.1257/app.20130327",NA,NA,30,7.5,0,0,0,0,0,0,0,4,13,13,0,14,13,17,"CitationsSpring2019"
"47","The Impacts of Microcredit: Evidence from Ethiopia","jjp282","Tarozzi, Alessandro; Desai, Jaikishan; Johnson, Kristin","Tarozzi, Alessandro","Desai, Jaikishan","Johnson, Kristin",NA,NA,NA,NA,12,3,1,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2015",2015,7,1,NA,NA,NA,54,89,NA,"10.1257/app.20130475",NA,NA,29,7.25,0,0,0,0,0,0,5,5,13,6,5,5,13,9,"CitationsSpring2019"
"48","Labor Market Effects of Social Programs: Evidence from India's Employment Guarantee","jjp282","Imbert, Clement; Papp, John","Imbert, Clement","Papp, John",NA,NA,NA,NA,NA,11,21,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2015",2015,7,2,NA,NA,NA,233,263,NA,"10.1257/app.20130401",NA,NA,25,6.25,0,0,0,0,0,0,1,3,11,10,1,13,11,10,"CitationsSpring2019"
"49","Inputs in the Production of Early Childhood Human Capital: Evidence from Head Start","jjp282","Walters, Christopher R.","Walters, Christopher R.",NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2015",2015,7,4,NA,NA,NA,76,102,NA,"10.1257/app.20140184",NA,NA,14,3.5,0,0,0,0,0,0,0,1,3,10,0,1,3,12,"CitationsSpring2019"
"50","Trade Liberalization and Markup Dispersion: Evidence from China's WTO Accession","jjp282","Lu, Yi; Yu, Linhui","Lu, Yi","Yu, Linhui",NA,NA,NA,NA,NA,9,15,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2015",2015,7,4,NA,NA,NA,221,253,NA,"10.1257/app.20140350",NA,NA,13,3.25,0,0,0,0,0,0,0,0,7,6,0,0,7,6,"CitationsSpring2019"
"51","Legal Status and the Criminal Activity of Immigrants","jjp282","Mastrobuoni, Giovanni; Pinotti, Paolo","Mastrobuoni, Giovanni","Pinotti, Paolo",NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2015",2015,7,2,NA,NA,NA,175,206,NA,"10.1257/app.20140039",NA,NA,12,3,0,0,0,0,0,0,0,2,3,7,0,2,3,7,"CitationsSpring2019"
