"","DOI","Title","Pages","Entry Questionnaire Author","Entry Questionnaire","AER Edition","Year","Expected Difficulty","Replicator","Completed","Replicated","Main Issue","Type of Missing Data","2nd Replicator","Completed_1","Replicated_1","Data Type","Data Access Type","Data Access Type: restricted","Data Access Type: public","Data Access Type: Unknown","Data Comments","Data URL","Data Contact","worksheet"
"18","10.1257/aer.20150540","A Structural Model of the Retail Market for Illicit Drugs",NA,"Matthew","Completed","VOL. 107, NO. 3",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis","Public",NA,"Yes",NA,NA,"https://www.aeaweb.org/content/file?id=3740","2 sources given in README","Spring2018AER"
"19","10.1257/aer.20140605","Unplanned Purchases and Retail Competition",NA,"Matthew","Completed","VOL. 107, NO. 3",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"n/a",NA,"Theory paper",NA,NA,"Spring2018AER"
"20","10.1257/aer.20140782","Banks as Secret Keepers",NA,"Matthew","Completed","VOL. 107, NO. 4",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"n/a",NA,"Theory paper",NA,NA,"Spring2018AER"
"21","10.1257/aer.20110433","The Social Cost of Near-Rational Investment",NA,"Matthew","Completed","VOL. 107, NO. 4",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"n/a",NA,"Theory paper",NA,NA,"Spring2018AER"
"22","10.1257/aer.20160913","How to Control Controlled School Choice: Comment",NA,"Matthew","Completed","VOL. 107, NO. 4",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"n/a",NA,"Theory paper",NA,NA,"Spring2018AER"
"23","10.1257/aer.20131057","Bidder Solicitation, Adverse Selection, and the Failure of Competition",NA,"Matthew","Completed","VOL. 107, NO. 6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"n/a",NA,"Theory paper",NA,NA,"Spring2018AER"
"24","10.1257/aer.20151700","A Theory of Crowdfunding: A Mechanism Design Approach with Demand Uncertainty and Moral Hazard",NA,"Matthew","Completed","VOL. 107, NO. 6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"n/a",NA,"Theory paper",NA,NA,"Spring2018AER"
"25","10.1257/aer.20141524","Eponymous Entrepreneurs",NA,"Matthew","Completed","VOL. 107, NO. 6",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis","Public",NA,"Yes",NA,NA,"https://www.aeaweb.org/content/file?id=4955","Sharon.belezon@duke.edu","Spring2018AER"
"26","10.1257/aer.20141440","Measuring the Impacts of Teachers: Comment",NA,"Matthew","Completed","VOL. 107, NO. 6",2017,5,NA,NA,NA,NA,NA,NA,NA,NA,"Restricted access","Restricted access","Yes",NA,NA,"Have to buy license for data",NA,NA,"Spring2018AER"
"27","10.1257/aer.20170108","Measuring the Impacts of Teachers: Reply",NA,"Matthew","Completed","VOL. 107, NO. 6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"n/a",NA,"Response to 10.1257/aer.20141440",NA,NA,"Spring2018AER"
"28","10.1257/aer.107.7.1731","Incomplete Contracts and Control",NA,"Matthew","Completed","VOL. 107, NO. 7",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"n/a",NA,"Theory paper",NA,NA,"Spring2018AER"
"29","10.1257/aer.20150566","Estimating Dynamic Games of Electoral Competition to Evaluate Term Limits in US Gubernatorial Elections",NA,"Matthew","Completed","VOL. 107, NO. 7",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis","Public",NA,"Yes",NA,NA,"https://www.aeaweb.org/articles/attachments?retrieve=HkwVzrXZPbAEbBl6aHbPIwrl9Rw7lwI1",NA,"Spring2018AER"
"30","10.1257/aer.20151710","Contracts as a Barrier to Entry in Markets with Nonpivotal Buyers",NA,"Matthew","Completed","VOL. 107, NO. 7",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"n/a",NA,"Theory paper",NA,NA,"Spring2018AER"
"31","10.1257/aer.20160145","Buyer-Optimal Learning and Monopoly Pricing",NA,"Matthew","Completed","VOL. 107, NO. 7",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"n/a",NA,"Theory paper",NA,NA,"Spring2018AER"
"32","10.1257/aer.20151404","Identifying and Spurring High-Growth Entrepreneurship: Experimental Evidence from a Business Plan Competition",NA,"Matthew","Completed","VOL. 107, NO. 8",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis","Public",NA,"Yes",NA,"Input data provided as well","https://www.aeaweb.org/articles/attachments?retrieve=J7efp2FHl5tgz0RKYLNhp6Loi1RWhTrh",NA,"Spring2018AER"
"33","10.1257/aer.20140494","Optimal Allocation with Ex Post Verification and Limited Penalties",NA,"Matthew","Completed","VOL. 107, NO. 9",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"n/a",NA,"Theory paper",NA,NA,"Spring2018AER"
"34","10.1257/aer.20160194","Relational Knowledge Transfers",NA,"Matthew","Completed","VOL. 107, NO. 9",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"n/a",NA,"Theory paper",NA,NA,"Spring2018AER"
"35","10.1257/aer.20151193","Virtual Classrooms: How Online College Courses Affect Student Success",NA,"Matthew","Completed","VOL. 107, NO. 9",2017,5,NA,NA,NA,NA,NA,NA,NA,NA,"Proprietary","Proprietary","Yes",NA,NA,"Have to contact DeVry University for data","DeVry University",NA,"Spring2018AER"
"36","10.1257/aer.20141280","The Growth Potential of Startups over the Business Cycle",NA,"Matthew","Completed","VOL. 107, NO. 10",2017,3,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis","Public",NA,"Yes",NA,"MATLAB data","https://www.aeaweb.org/content/file?id=5462",NA,"Spring2018AER"
"37","10.1257/aer.20150891","The Cyclicality of Sales, Regular, and Effective Prices: Business Cycle and Policy Implications: Comment",NA,"Matthew","Completed","VOL. 107, NO. 10",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis","Public",NA,"Yes",NA,NA,"https://www.aeaweb.org/articles/attachments?retrieve=WXcE_jrWmEzqGB_d9rWF8Ov9lIbiLY9r",NA,"Spring2018AER"
"38","10.1257/aer.20160425","Obviously Strategy-Proof Mechanisms",NA,"Matthew","Completed","VOL. 107, NO. 11",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,"Input","Public",NA,"Yes",NA,"Stata/Excel","https://www.aeaweb.org/articles/attachments?retrieve=pEL4BDC_f0TiIVkjsrWitSAXNC2CJjTF",NA,"Spring2018AER"
"39","10.1257/aer.20170029","Acting Wife': Marriage Market Incentives and Labor Market Investments",NA,"Matthew","Completed","VOL. 107, NO. 11",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,"Input","Unknown",NA,NA,"Yes","Vague description of source of input data","https://www.aeaweb.org/articles/attachments?retrieve=ddp4XscyjYoJ2Ql_fJW4sG3LB7iaP206",NA,"Spring2018AER"
"40","10.1257/aer.20140759","Decentralized Exchange",NA,"Matthew","Completed","VOL. 107, NO. 11",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"n/a",NA,"Theory paper",NA,NA,"Spring2018AER"
"41","10.1257/aer.20141222","Why Do People Give? Testing Pure and Impure Altruism",NA,"Matthew","Completed","VOL. 107, NO. 11",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,"Input","Public",NA,"Yes",NA,"Experimental Data","https://www.aeaweb.org/articles/attachments?retrieve=uWWbCPt-La0lxiK9xE1he65B96pkRTbz",NA,"Spring2018AER"
"42","10.1257/aer.20161080","Absolute Poverty: When Necessity Displaces Desire",NA,"Matthew","Completed","VOL. 107, NO. 12",2017,4,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis","Public",NA,"Yes",NA,"Excel Spreadsheets","https://www.aeaweb.org/articles/attachments?retrieve=anVXx8v6RIZwxHEVb300y65N3bkdexBo",NA,"Spring2018AER"
"43","10.1257/aer.20150592","Hayek, Local Information, and Commanding Heights: Decentralizing State-Owned Enterprises in China",NA,"Mcrid","Completed","VOL. 107, NO. 8",2017,2,"Mcrid","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"44","10.1257/aer.20141419","Policy Uncertainty, Trade, and Welfare: Theory and Evidence for China and the United States",NA,"Mcrid",NA,"VOL. 107, NO. 9",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"45","10.1257/aer.20140832","The Wind of Change: Maritime Technology, Trade, and Economic Development",NA,"Mcrid","Completed","VOL. 107, NO. 9",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"46","10.1257/aer.20141287","Coarse Competitive Equilibrium and Extreme Prices",28,"Robert","Completed","VOL. 107, NO. 1",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,NA,"Yes","N/A","N/A","Unknown","Spring2018AER"
"47","10.1257/aer.20150355","Clicking on Heaven's Door: The Effect of Immigrant Legalization on Crime",30,"Robert","Completed","VOL. 107, NO. 1",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,"Confidential","Restricted","Yes",NA,NA,"N/A","N/A","http://www.interno.gov.it/it/ministero/dipartimenti/dipartimento-liberta-civili-e-limmigrazione; http://www.interno.gov.it/it/ministero/dipartimenti/dipartimento-pubblica-sicurezza/direzione-centrale-polizia-criminale","Spring2018AER"
"48","10.1257/aer.20150342","Deposit Competition and Financial Fragility: Evidence from the US Banking Sector",47,"Robert","Completed","VOL. 107, NO. 1",2017,4,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis","Public",NA,"Yes",NA,"More data sets than could be described in the survey","https://www.aeaweb.org/content/file?id=2954",NA,"Spring2018AER"
"49","10.1257/aer.20140855","Tax Policy and Heterogeneous Investment Behavior",31,"Robert","Completed","VOL. 107, NO. 1",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis","some public, some held by Treasury","Yes","Yes",NA,"Unclear whether Treasury-held data is confidential or proprietary","https://www.aeaweb.org/articles/attachments?retrieve=JqRDxqkxHZog1IQC77ajfzMpLm4ETDo3","US Treasury","Spring2018AER"
"50","10.1257/aer.20160542","Are Online and Offline Prices Similar? Evidence from Large Multi-channel Retailers",20,"Robert","Completed","VOL. 107, NO. 1",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis and Input",NA,NA,"Yes",NA,"more datasets than could be described in the survey","https://www.aeaweb.org/articles/attachments?retrieve=PhbTqqrz5Ype35fbsia3JPjTD9DQ2rac",NA,"Spring2018AER"
"51","10.1257/aer.20141297","High Discounts and High Unemployment",25,"Robert","Completed","VOL. 107, NO. 2",2017,3,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis","Public",NA,"Yes",NA,"N/A","https://www.aeaweb.org/articles/attachments?retrieve=ToiF4VRm1Q7ifXrUuUaBXEZM4PUKZhwz",NA,"Spring2018AER"
"52","10.1257/aer.20150501","No Price Like Home: Global House Prices, 1870-2012",22,"Robert","Completed","VOL. 107, NO. 2",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,"Input","Public",NA,"Yes",NA,"one more dataset than could be described on the survey; multiple input datasets that could not be described in survey","https://www.aeaweb.org/articles/attachments?retrieve=xeBrdh3vvXEeM8LSUu_jeSWwHxhM8BM-",NA,"Spring2018AER"
"53","10.1257/aer.20141335","In with the Big, Out with the Small: Removing Small-Scale Reservations in India",32,"Robert","Completed","VOL. 107, NO. 2",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,"Input and proprietary","Some public, some restricted","Yes","Yes",NA,"more datasets than could be described in the survey","https://www.aeaweb.org/articles/attachments?retrieve=e9vFpiL9pOgvxvhaLt50nwhaP54YS-Mm",NA,"Spring2018AER"
"54","10.1257/aer.20160349","Detecting Potential Overbilling in Medicare Reimbursement via Hours Worked",29,"Robert","Completed","VOL. 107, NO. 2",2017,3,NA,NA,NA,NA,NA,NA,NA,NA,"Input","Public",NA,"Yes",NA,"more datasets than can be described in the survey","https://www.aeaweb.org/aer/data/10702/20160349_data.zip","various sources (see readme)","Spring2018AER"
"55","10.1257/aer.20150314","Misallocation and the Distribution of Global Volatility",30,"Robert","Completed","VOL. 107, NO. 2",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,"Unkown","Unknown",NA,NA,"Yes","data might have come from an earlier paper by this author; only mention of data is in one citation of an earlier paper by this author","N/A","Unknown","Spring2018AER"
"56","10.1257/aer.20150988","The Impact of Family Income on Child Achievement: Evidence from the Earned Income Tax Credit: Comment",5,"Robert","Completed","VOL. 107, NO. 2",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis","Mostly public; state identifiers necessary for analysis are confidential","Yes","Yes",NA,NA,"https://www.aeaweb.org/articles/attachments?retrieve=1JLM3SXESUv4l02LI9u8JRyh-wzNHadq","mailto:NLS_INFO@bls.gov","Spring2018AER"
"57","10.1257/aer.20161329","The Impact of Family Income on Child Achievement: Evidence from the Earned Income Tax Credit: Reply",4,"Robert","Completed","VOL. 107, NO. 2",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis","Mostly public; state identifiers necessary for analysis are confidential","Yes","Yes",NA,"requires TAXSIM software","https://www.aeaweb.org/articles/attachments?retrieve=mVVPBoW9iL6GX83fsg8xX9ruBV_5NOzt","mailto:NLS_INFO@bls.gov","Spring2018AER"
"58","10.1257/aer.20150956","Nonparametric Counterfactual Predictions in Neoclassical Models of International Trade",56,"Robert","Completed","VOL. 107, NO. 3",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis","Public",NA,"Yes",NA,"more datasets than could be described in survey, both those provided and input datasets","https://www.aeaweb.org/content/file?id=3742",NA,"Spring2018AER"
"59","10.1257/aer.20141734","Gender Differences in Accepting and Receiving Requests for Tasks with Low Promotability",33,"Robert","Completed","VOL. 107, NO. 3",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis","Public(?)",NA,"Yes",NA,"mix of data collected from other investigators and collected by authors","https://www.aeaweb.org/articles/attachments?retrieve=Zu26EFnrIpuyb7UcMUtMwJ0Aruar5-St","Tannenbaum et al. 2013","Spring2018AER"
"60","10.1257/aer.20150781","Using a Free Permit Rule to Forecast the Marginal Abatement Cost of Proposed Climate Policy",44,"Robert","Completed","VOL. 107, NO. 3",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis","more input datasets than could be described in the survey; see online appendix for complete details",NA,"Yes",NA,NA,"https://www.aeaweb.org/content/file?id=3741","multiple sources; see online appendix","Spring2018AER"
"61","10.1257/aer.20150248","Inflation Dynamics during the Financial Crisis",48,"Robert","Completed","VOL. 107, NO. 3",2017,4,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis","mix of public and confidential data; see readmes for more information","Yes","Yes",NA,NA,"https://www.aeaweb.org/articles/attachments?retrieve=TbVJ9kI_nbIEZjAsMtUQNXroo2CDEmSQ",NA,"Spring2018AER"
"62","10.1257/aer.20121660","The Great Escape? A Quantitative Evaluation of the Fed's Liquidity Facilities",33,"Robert","Completed","VOL. 107, NO. 3",2017,4,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis","mix of public and confidential data; CDS-Bond basis spread data is proprietary","Yes","Yes",NA,"more input datasets than can be described in the survey","https://www.aeaweb.org/articles/attachments?retrieve=Zf4QX_-nweIN3acpQtusPqxD91Q3Uyxs",NA,"Spring2018AER"
"63","10.1257/aer.20150218","Beeps",23,"Yu","Completed","VOL. 107, NO. 1",2017,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"64","10.1257/aer.20151086","Microeconomic Origins of Macroeconomic Tail Risks",56,"Yu","Completed","VOL. 107, NO. 1",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"65","10.1257/aer.20140359","Price Cutting and Business Stealing in Imperfect Cartels",38,"Yu","Completed","VOL. 107, NO. 2",2017,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"66","10.1257/aer.20141300","Peer Effects in the Workplace",32,"Yu","Completed","VOL. 107, NO. 2",2017,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"67","10.1257/aer.20150528","Does Extending Unemployment Benefits Improve Job Quality?",36,"Yu","Completed","VOL. 107, NO. 2",2017,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"68","10.1257/aer.107.4.967","Narrative Economics",39,"Yu","Completed","VOL. 107, NO. 4",2017,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"69","10.1257/aer.20160186","Escaping the Great Recession",30,"Yu","Completed","VOL. 107, NO. 4",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"70","10.1257/aer.20131118","The Macrodynamics of Sorting between Workers and Firms",NA,"Yu",NA,"VOL. 107, NO. 4",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"71","10.1257/aer.20131029","Modeling the Revolving Revolution: The Debt Collection Channel",NA,NA,NA,"VOL. 107, NO. 3",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"72","10.1257/aer.20150808","Financing Innovation: Evidence from R&D Grants",NA,NA,NA,"VOL. 107, NO. 4",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"73","10.1257/aer.20150503","Reducing Crime and Violence: Experimental Evidence from Cognitive Behavioral Therapy in Liberia",NA,NA,NA,"VOL. 107, NO. 4",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"74","10.1257/aer.20151211","Does the Gender Composition of Scientific Committees Matter?",NA,NA,NA,"VOL. 107, NO. 4",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"75","10.1257/aer.20150947","A Comprehensive Approach to Revealed Preference Theory",NA,NA,NA,"VOL. 107, NO. 4",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"76","10.1257/aer.20160093","Correlation Misperception in Choice",NA,NA,NA,"VOL. 107, NO. 4",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"77","10.1257/aer.20151739","Balanced Growth Despite Uzawa",NA,NA,NA,"VOL. 107, NO. 4",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"78","10.1257/aer.20151326","Geographic Dispersion of Economic Shocks: Evidence from the Fracking Revolution",NA,NA,NA,"VOL. 107, NO. 4",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"79","10.1257/aer.20120273","Borrowing on the Wrong Credit Card? Evidence from Mexico",NA,NA,NA,"VOL. 107, NO. 4",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"80","10.1257/aer.20141707","Creative Destruction: Barriers to Urban Growth and the Great Boston Fire of 1872",NA,NA,NA,"VOL. 107, NO. 6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"81","10.1257/aer.20160277","Content-Based Agendas and Qualified Majorities in Sequential Voting",NA,NA,NA,"VOL. 107, NO. 6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"82","10.1257/aer.20151413","Household Consumption When the Marriage Is Stable",NA,NA,NA,"VOL. 107, NO. 6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"83","10.1257/aer.20140774","Report Cards: The Impact of Providing School and Child Test Scores on Educational Markets",NA,NA,NA,"VOL. 107, NO. 6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"84","10.1257/aer.20150774","This Mine Is Mine! How Minerals Fuel Conflicts in Africa",NA,NA,NA,"VOL. 107, NO. 6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"85","10.1257/aer.20141467","Can Women Have Children and a Career? IV Evidence from IVF Treatments",NA,NA,NA,"VOL. 107, NO. 6",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"86","10.1257/aer.107.7.1753","Pay for Performance and Beyond",NA,NA,NA,"VOL. 107, NO. 7",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"87","10.1257/aer.20151655","Knowledge of Future Job Loss and Implications for Unemployment Insurance",NA,NA,NA,"VOL. 107, NO. 7",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"88","10.1257/aer.20150508","The Effect of State Taxes on the Geographical Location of Top Earners: Evidence from Star Scientists",NA,NA,NA,"VOL. 107, NO. 7",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"89","10.1257/aer.20150630","Inspecting the Mechanism: Leverage and the Great Recession in the Eurozone",NA,NA,NA,"VOL. 107, NO. 7",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"90","10.1257/aer.20150143","Investment Banks as Corporate Monitors in the Early Twentieth Century United States",NA,NA,NA,"VOL. 107, NO. 7",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"91","10.1257/aer.20121437","The Empirical Implications of the Interest-Rate Lower Bound",NA,NA,NA,"VOL. 107, NO. 7",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
