"","DOI","Title","Pages","Entry Questionnaire","AEJ Edition","Year","Expected Difficulty","Replicator","Completed","Replicated","Main Issue","Type of Missing Data","2nd Replicator","Completed_1","Replicated_1","Data Type","Data Access Type","Data Comments","worksheet"
"15","10.1257/app.4.3.64","Enforcement of Labor Regulation and Informality",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"16","10.1257/app.4.4.226","Access, Sorting, and Achievement: The Short-Run Effects of Free Primary Education in Kenya",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"17","10.1257/app.4.1.212","Are Female Leaders Good for Education? Evidence from India",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"18","10.1257/app.4.1.109","When the Saints Go Marching Out: Long-Term Outcomes for Student Evacuees from Hurricanes Katrina and Rita",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"19","10.1257/app.4.4.32","Estimating the Deterrent Effect of Incarceration Using Sentencing Enhancements",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"20","10.1257/app.4.4.194","Deregulation, Consolidation, and Efficiency: Evidence from US Nuclear Power",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"21","10.1257/app.4.3.167","Drug Innovations and Welfare Measures Computed from Market Demand: The Case of Anti-Cholesterol Drugs",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"22","10.1257/app.4.3.138","High Unemployment Yet Few Small Firms: The Role of Centralized Bargaining in South Africa",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"23","10.1257/app.4.3.1","Raising the Barcode Scanner: Technology and Productivity in the Retail Sector",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"24","10.1257/app.4.2.199","Indirect Effects of a Policy Altering Criminal Behavior: Evidence from the Italian Prison Experiment",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"25","10.1257/app.4.2.36","What Makes Firm-based Vocational Training Schemes Successful? The Role of Commitment",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"26","10.1257/app.4.2.274","Castes and Labor Mobility",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"27","10.1257/app.4.2.168","Productivity Spillovers Across Firms through Worker Mobility",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"28","10.1257/app.4.1.193","Do Expert Reviews Affect the Demand for Wine?",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"29","10.1257/app.4.4.94","Can Mobile Phones Improve Learning? Evidence from a Field Experiment in Niger",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"30","10.1257/app.4.4.140","Limited Insurance within the Household: Evidence from a Field Experiment in Kenya",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"31","10.1257/app.4.3.90","When They're Sixty-Four: Peer Effects and the Timing of Retirement",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"32","10.1257/app.4.3.28","How Large Are the Effects from Temporary Changes in Family Environment: Evidence from a Child-Evacuation Program During World War II",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"33","10.1257/app.4.1.30","Partisan Grading",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"34","10.1257/app.4.4.57","Can Compulsory Military Service Raise Civilian Wages? Evidence from the Peacetime Draft in Portugal",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"35","10.1257/app.4.4.254","Are Big-Time Sports a Threat to Student Achievement?",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"36","10.1257/app.4.3.116","The Economic Benefits of Pharmaceutical Innovations: The Case of Cox-2 Inhibitors",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"37","10.1257/app.4.1.85","School Desegregation and Urban Change: Evidence from City Boundaries",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"38","10.1257/app.4.1.245","Enhancing Cognitive Functioning: Medium-Term Effects of a Health and Family Planning Program in Matlab",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"39","10.1257/app.4.3.43","Sweetening the Deal? Political Connections and Sugar Mills in India",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"40","10.1257/app.4.2.219","The Effect of Shift Structure on Performance",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
