"","DOI","URL","Title","Authors","Source Title","Publication Date","Year","Volume","Issue","Beginning Page","Ending Page","Entry Questionnaire","Entry Questionnaire Author","Expected Difficulty","Replicator","Completed","Replicated","Main Issue","Type of Missing Data","2nd Replicator","Completed_1","Replicated_1","Data Type","Data Access Type","Data Comments","Data URL","Data Contact","Start-time","End-time","Run-time for programs (minutes)","Estimated editing-time for programs, commits (minutes)","worksheet"
"13","10.1257/mac.20130237","https://doi.org/10.1257/mac.20130237","Rounding the Corners of the Policy Trilemma: Sources of Monetary Policy Autonomy","Klein, Michael W.; Shambaugh, Jay C.","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Oct 2015",2015,7,4,33,66,"Completed",NA,"2","ap676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"14","10.1257/mac.20110110","https://doi.org/10.1257/mac.20110110","Optimal Mirrleesean Taxation in a Ben-Porath Economy","Kapicka, Marek","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Apr 2015",2015,7,2,219,248,"Completed",NA,"3","ap676","Yes","No","Missing user-defined function curvedspace.m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"15","10.1257/mac.20120155","https://doi.org/10.1257/mac.20120155","Understanding Markups in the Open Economy","de Blas, Beatriz; Russ, Katheryn N.","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Apr 2015",2015,7,2,157,180,"Completed",NA,"2","ap676","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"16","10.1257/mac.20130011","https://doi.org/10.1257/mac.20130011","Market Exposure and Endogenous Firm Volatility over the Business Cycle","Decker, Ryan A.; D'Erasmo, Pablo N.; Boedo, Hernan Moscoso","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Jan 2016",2016,8,1,148,198,"Completed",NA,"4","ap676","Incomplete","No","Data confidential, access requires application process to Census Bureau, and (possibly trivial?) account creation on WRDS for Compustat data. Replication requires Stata, SAS, and Matlab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"17","10.1257/mac.20130014","https://doi.org/10.1257/mac.20130014","Public Debt and Changing Inflation Targets","Krause, Michael U.; Moyen, Stephane","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Oct 2016",2016,8,4,142,176,"Completed",NA,"2","ap676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"18","10.1257/app.20130170","https://doi.org/10.1257/app.20130170","Demand for Alcohol Consumption in Russia and Its Implication for Mortality","Yakovlev, Evgeny","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2018",2018,10,1,106,149,"Completed",NA,"2","cc2553","incomplete",NA,"temp file not found **stata output not recorded; CISER crashed**",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"19","10.1257/app.20150149","https://doi.org/10.1257/app.20150149","The Impact of High School Financial Education: Evidence from a Large-Scale Evaluation in Brazil","Bruhn, Miriam; Leao, Luciana de Souza; Legovini, Arianna; Marchetti, Rogelio; Zia, Bilal","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2016",2016,8,4,256,295,"Completed",NA,"3","cc2553","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"20","10.1257/app.20150245","https://doi.org/10.1257/app.20150245","The Effects of Micro-entrepreneurship Programs on Labor Market Performance: Experimental Evidence from Chile","Martinez A, Claudia; Puentes, Esteban; Ruiz-Tagle, Jaime","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2018",2018,10,2,101,124,"Completed",NA,"3","cc2553","Yes","Yes","Table A9.1/Figure 9.1 from the Appendix could not be replicated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"21","10.1257/app.20150447","https://doi.org/10.1257/app.20150447","The Local Political Economy Effects of School Construction in Indonesia","Martinez-Bravo, Monica","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2017",2017,9,2,256,289,"Completed",NA,"3","cc2553","Yes","Yes","Stata crash during while loop - Solved (Flavio)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"22","10.1257/app.20150548","https://doi.org/10.1257/app.20150548","Wealth Heterogeneity and the Income Elasticity of Migration","Bazzi, Samuel","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2017",2017,9,2,219,255,"Completed",NA,"3","cc2553","incomplete","No","matalab library function in downloaded program not found",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"23","10.1257/app.20170048","https://doi.org/10.1257/app.20170048","Do Risk Preferences Change? Evidence from the Great East Japan Earthquake","Hanaoka, Chie; Shigeoka, Hitoshi; Watanabe, Yasutora","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2018",2018,10,2,298,330,"Completed",NA,"2","cc2553","Yes","No","Confidential survey data from Osaka University not provided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"24","10.1257/mac.20130041","https://doi.org/10.1257/mac.20130041","Sectoral Technology and Structural Transformation","Herrendorf, Berthold; Herrington, Christopher; Valentinyi, Akos","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Oct 2015",2015,7,4,104,133,"Completed",NA,"4","cc2553","incomplete","No","Missing application to run EViews file and finish replication",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"25","10.1257/mac.20130105","https://doi.org/10.1257/mac.20130105","Demographic Patterns and Household Saving in China","Curtis, Chadwick C.; Lugauer, Steven; Mark, Nelson C.","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Apr 2015",2015,7,2,58,94,"Completed",NA,"4","cc2553","Yes","Partial","Data file must be requested and several programs not provided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"26","10.1257/mac.20130143","https://doi.org/10.1257/mac.20130143","A Behavioral Model of the Popularity and Regulation of Demandable Liabilities","Rotemberg, Julio J.","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Jul 2015",2015,7,3,123,152,"Completed",NA,"N/A","cc2553","Yes","No","No empirical work, simulations, or experimental work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"27","10.1257/mac.20130337","https://doi.org/10.1257/mac.20130337","Rational Inattention to News: The Perils of Forward Guidance","Gaballo, Gaetano","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Jan 2016",2016,8,1,42,97,"Completed",NA,"N/A","cc2553","Yes","No","No empirical work, simulations, or experimental work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"28","10.1257/mac.20140033","https://doi.org/10.1257/mac.20140033","The Simple Economics of Commodity Price Speculation","Knittel, Christopher R.; Pindyck, Robert S.","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Apr 2016",2016,8,2,85,110,"Completed",NA,"2","cc2553","Yes","Partial","Missing information; table not replicated due to missing variable, and some blank or repeated figures produced",NA,"gab99","in progress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"29","10.1257/mac.20140234","https://doi.org/10.1257/mac.20140234","The Great Housing Boom of China","Chen, Kaiji; Wen, Yi","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Apr 2017",2017,9,2,73,114,"Completed",NA,"4","cc2553","Yes","Partial","Matlab files produced some figures; most tables and figures were unreplicable bc datasets not accessible","Confidential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"30","10.1257/mac.20140362","https://doi.org/10.1257/mac.20140362","The Exchange Rate Response to Monetary Policy Innovations","Hnatkovska, Viktoria; Lahiri, Amartya; Vegh, Carlos A.","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Apr 2016",2016,8,2,137,181,"Completed",NA,"3","cc2553","incomplete","No","temp file not created/found after ""create irf..."" command",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"31","10.1257/mac.20150017","https://doi.org/10.1257/mac.20150017","Entry, Exit, Firm Dynamics, and Aggregate Fluctuations","Clementi, Gian Luca; Palazzo, Berardino","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Jul 2016",2016,8,3,1,41,"Completed",NA,"4","cc2553","Yes","Partial","Descriptive statistic tables and some graphs missing",NA,"gab99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"32","10.1257/mac.20150109","https://doi.org/10.1257/mac.20150109","Does Home Production Drive Structural Transformation?","Moro, Alessio; Moslehi, Solmaz; Tanaka, Satoshi","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Jul 2017",2017,9,3,116,146,"Completed",NA,"1","cc2553","Yes","Yes","Some value differences, always in row 1 of every table in addition to a few others",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"33","10.1257/mac.20160353","https://doi.org/10.1257/mac.20160353","How Important Are Sectoral Shocks?","Atalay, Enghin","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Oct 2017",2017,9,4,254,280,"Completed",NA,"3","cc2553","Yes","Partial","Some tables seemed to be not provided",NA,"gab99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"34","10.1257/mac.20130028","https://doi.org/10.1257/mac.20130028","Optimal Labor-Market Policy in Recessions","Jung, Philip; Kuester, Keith","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Apr 2015",2015,7,2,124,156,"Completed",NA,"2","cc2553","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"35","10.1257/mac.20130170","https://doi.org/10.1257/mac.20130170","The Economic and Demographic Transition, Mortality, and Comparative Development","Cervellati, Matteo; Sunde, Uwe","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Jul 2015",2015,7,3,189,225,"Completed",NA,"4","cc2553","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"36","10.1257/mac.20130176","https://doi.org/10.1257/mac.20130176","The Possible Unemployment Cost of Average Inflation below a Credible Target","Svensson, Lars E. O.","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Jan 2015",2015,7,1,258,296,"Completed",NA,"5","cc2553","In Progress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"37","10.1257/mac.20130183","https://doi.org/10.1257/mac.20130183","Financial Innovation, Collateral, and Investment","Fostel, Ana; Geanakoplos, John","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Jan 2016",2016,8,1,242,284,"Completed",NA,"4","cc2553","In Progress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"38","10.1257/app.20130399","https://doi.org/10.1257/app.20130399","What Does Debt Relief Do for Development? Evidence from India's Bailout for Rural Households","Kanz, Martin","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2016",2016,8,4,66,99,"Completed",NA,"1","gab99","Yes","Partial","No code provided for figures, some values in tables do not match article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5min",NA,"MASTER Summer 2018 forward"
"39","10.1257/app.20140404","https://doi.org/10.1257/app.20140404","Income Opportunities and Sea Piracy in Indonesia: Evidence from Satellite Data","Axbard, Sebastian","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2016",2016,8,2,154,194,"Completed",NA,"4","gab99","Yes","Partial","Proprietary data","proprietary",NA,NA,NA,NA,NA,NA,NA,"bpshq@bps.go.id.",NA,NA,"10 minutes (for graphs)",NA,"MASTER Summer 2018 forward"
"40","10.1257/app.20150044","https://doi.org/10.1257/app.20150044","Star Wars: The Empirics Strike Back","Brodeur, Abel; Le, Mathias; Sangnier, Marc; Zylberberg, Yanos","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2016",2016,8,1,1,32,"Completed",NA,"1","gab99","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15 minutes",NA,"MASTER Summer 2018 forward"
"41","10.1257/mac.20120163","https://doi.org/10.1257/mac.20120163","Happiness and the Persistence of Income Shocks","Bayer, Christian; Juessen, Falko","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Oct 2015",2015,7,4,160,187,"Completed",NA,"4","gab99","Yes","No","Confidential data/data that requires registration","Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"42","10.1257/mac.20120257","https://doi.org/10.1257/mac.20120257","In the Wrong Hands: Complementarities, Resource Allocation, and TFP","Alder, Simeon D.","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Jan 2016",2016,8,1,199,241,"Completed",NA,"2","gab99","Yes","Partial","Missing variable, no instructions on replicating tables 2 and 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"43","10.1257/mac.20130139","https://doi.org/10.1257/mac.20130139","Explaining the Evolution of Educational Attainment in the United States","Castro, Rui; Coen-Pirani, Daniele","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Jul 2016",2016,8,3,77,112,"Completed",NA,"2","gab99","Incomplete",NA,"uses Fortran code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"44","10.1257/mac.20130265","https://doi.org/10.1257/mac.20130265","A New History of Banking Panics in the United States, 1825-1929: Construction and Implications","Jalil, Andrew J.","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Jul 2015",2015,7,3,295,330,"Completed",NA,"3","gab99","Incomplete",NA,"uses RATS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"45","10.1257/mac.20150220","https://doi.org/10.1257/mac.20150220","Liquidity Traps and Jobless Recoveries","Schmitt-Grohe, Stephanie; Uribe, Martin","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Jan 2017",2017,9,1,165,204,"Completed",NA,"4","gab99","Yes","Partial","Update: I replicated every figure except for figure 1 which is missing data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"46","10.1257/mac.20130190","https://doi.org/10.1257/mac.20130190","Financial Liberalization, Debt Mismatch, Allocative Efficiency, and Growth","Ranciere, Romain; Tornell, Aaron","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Apr 2016",2016,8,2,1,44,"Completed",NA,"5","gab99","Yes","No","no code is provided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"47","10.1257/mac.20130212","https://doi.org/10.1257/mac.20130212","Aggregate Implications of a Credit Crunch: The Importance of Heterogeneity","Buera, Francisco J.; Moll, Benjamin","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Jul 2015",2015,7,3,1,42,"Completed",NA,"5","gab99","Yes","No","no code provided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"48","10.1257/mac.20130231","https://doi.org/10.1257/mac.20130231","Elasticity Optimism","Imbs, Jean; Mejean, Isabelle","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Jul 2015",2015,7,3,43,83,"Completed",NA,"3","gab99","Incomplete",NA,"Reassign, uses SAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"49","10.1257/mac.20130234","https://doi.org/10.1257/mac.20130234","The Few Leading the Many: Foreign Affiliates and Business Cycle Comovement","Kleinert, Journ; Martin, Julien; Toubal, Farid","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Oct 2015",2015,7,4,134,159,"Completed",NA,"4","gab99","Yes","No","Some data is missing","Confidential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"50","10.1257/app.20140494","https://doi.org/10.1257/app.20140494","Iron Deficiency and Schooling Attainment in Peru","Chong, Alberto; Cohen, Isabelle; Field, Erica; Nakasone, Eduardo; Torero, Maximo","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2016",2016,8,4,222,255,"Completed",NA,"1","hat42","Yes","Yes","I'm not familiar with LaTeX and can't format the tables, but I was able to verify that the numbers were correct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"51","10.1257/app.20140506","https://doi.org/10.1257/app.20140506","The Returns to Medical School: Evidence from Admission Lotteries","Ketel, Nadine; Leuven, Edwin; Oosterbeek, Hessel; van der Klaauw, Bas","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2016",2016,8,2,225,254,"Completed",NA,"5","hat42","Yes","No","Datasets not provided, requires requesting information from Statistics Netherlands, authors also used confidential data such as Social Security numbers to create their analysis data dets","Confidential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"52","10.1257/app.20150554","https://doi.org/10.1257/app.20150554","Vocational Training for Disadvantaged Youth in Colombia: A Long-Term Follow-Up","Attanasio, Orazio; Guarin, Arlen; Medina, Carlos; Meghir, Costas","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2017",2017,9,2,131,143,"Completed",NA,"4","hat42","Yes","No","No datasets provided, requires getting in touch with Colombian municipal officials",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"53","10.1257/app.20150581","https://doi.org/10.1257/app.20150581","Hospitals as Insurers of Last Resort","Garthwaite, Craig; Gross, Tal; Notowidigdo, Matthew J.","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2018",2018,10,1,1,39,"Completed",NA,"4","hat42","Yes","No","Important datasets not provided, need to contact + pay AHA and the authors to get access","Proprietary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"54","10.1257/app.20160004","https://doi.org/10.1257/app.20160004","Cycling to School: Increasing Secondary School Enrollment for Girls in India","Muralidharan, Karthik; Prakash, Nishith","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2017",2017,9,3,321,350,"Completed",NA,"1","hat42","Yes","Partial","Could not get Figure 2 to work in R, Yudi was able to complete it. Some discrepancies in Table A-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"55","10.1257/app.20160214","https://doi.org/10.1257/app.20160214","Conflicts of Interest and Steering in Residential Brokerage","Barwick, Panle Jia; Pathak, Parag A.; Wong, Maisy","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2017",2017,9,3,191,222,"Completed",NA,"4","hat42","Yes","No","No datasets provided, requires calling or writing other agencies to obtain a DVD copy of the data","Confidential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"56","10.1257/mac.20150253","https://doi.org/10.1257/mac.20150253","Gender Gaps and the Rise of the Service Economy","Ngai, L. Rachel; Petrongolo, Barbara","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Oct 2017",2017,9,4,1,44,"Completed",NA,"2","hat42","Yes","Partial","CPS-IPUMS data was not included in the download files and I could not figure out where they were able to select their variables from the IPUMS site","Confidential",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"57","10.1257/mac.20130255","https://doi.org/10.1257/mac.20130255","Unemployment Insurance Fraud and Optimal Monitoring","Fuller, David L.; Ravikumar, B.; Zhang, Yuzhe","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Apr 2015",2015,7,2,249,290,"Completed",NA,"2","hat42","Incomplete","No","Tables replicated by the excel spreadsheet required no code to run, they were already made with 
equations from the same sheet as the data. Other equations required work in MATLAB that I can't figure 
out, the readme for these tables is very poorly written",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"58","10.1257/mac.20130267","https://doi.org/10.1257/mac.20130267","Time and State Dependence in an Ss Decision Experiment","Magnani, Jacopo; Gorry, Aspen; Oprea, Ryan","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Jan 2016",2016,8,1,285,310,"Completed",NA,"1","hat42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
