"","DOI","url","year","month","publisher","volume","number","pages","author","title","journal","key","entry"
"52","10.1257/app.20150554","https://doi.org/10.1257%2Fapp.20150554","2017","apr","American Economic Association","9","2","131--143","Orazio Attanasio and Arlen Guar{\'{I}}n and Carlos Medina and Costas Meghir","Vocational Training for Disadvantaged Youth in Colombia: A Long-Term Follow-Up","American Economic Journal: Applied Economics","Attanasio_2017","article"
"53","10.1257/app.20150581","https://doi.org/10.1257%2Fapp.20150581","2018","jan","American Economic Association","10","1","1--39","Craig Garthwaite and Tal Gross and Matthew J. Notowidigdo","Hospitals as Insurers of Last Resort","American Economic Journal: Applied Economics","Garthwaite_2018","article"
"54","10.1257/app.20160004","https://doi.org/10.1257%2Fapp.20160004","2017","jul","American Economic Association","9","3","321--350","Karthik Muralidharan and Nishith Prakash","Cycling to School: Increasing Secondary School Enrollment for Girls in India","American Economic Journal: Applied Economics","Muralidharan_2017","article"
"55","10.1257/app.20160214","https://doi.org/10.1257%2Fapp.20160214","2017","jul","American Economic Association","9","3","191--222","Panle Jia Barwick and Parag A. Pathak and Maisy Wong","Conflicts of Interest and Steering in Residential Brokerage","American Economic Journal: Applied Economics","Barwick_2017","article"
"56","10.1257/mac.20150253","https://doi.org/10.1257%2Fmac.20150253","2017","oct","American Economic Association","9","4","1--44","L. Rachel Ngai and Barbara Petrongolo","Gender Gaps and the Rise of the Service Economy","American Economic Journal: Macroeconomics","Ngai_2017","article"
"57","10.1257/mac.20130255","https://doi.org/10.1257%2Fmac.20130255","2015","apr","American Economic Association","7","2","249--290","David L. Fuller and B. Ravikumar and Yuzhe Zhang","Unemployment Insurance Fraud and Optimal Monitoring","American Economic Journal: Macroeconomics","Fuller_2015","article"
"58","10.1257/mac.20130267","https://doi.org/10.1257%2Fmac.20130267","2016","jan","American Economic Association","8","1","285--310","Jacopo Magnani and Aspen Gorry and Ryan Oprea","Time and State Dependence in an Ss Decision Experiment","American Economic Journal: Macroeconomics","Magnani_2016","article"
"59","10.1257/mac.20130302","https://doi.org/10.1257%2Fmac.20130302","2015","jul","American Economic Association","7","3","84--122","Daron Acemoglu and Gino Gancia and Fabrizio Zilibotti","Offshoring and Directed Technical Change","American Economic Journal: Macroeconomics","Acemoglu_2015","article"
"60","10.1257/mac.20150051","https://doi.org/10.1257%2Fmac.20150051","2017","jul","American Economic Association","9","3","36--71","Shuhei Aoki and Makoto Nirei","Zipf{\textquotesingle}s Law, Pareto{\textquotesingle}s Law, and the Evolution of Top Incomes in the United States","American Economic Journal: Macroeconomics","Aoki_2017","article"
"61","10.1257/mac.20150155","https://doi.org/10.1257%2Fmac.20150155","2017","jan","American Economic Association","9","1","265--290","Robert Inklaar and D.S. Prasada Rao","Cross-Country Income Levels over Time: Did the Developing World Suddenly Become Much Richer?","American Economic Journal: Macroeconomics","Inklaar_2017","article"
"62","10.1257/app.20150042","https://doi.org/10.1257%2Fapp.20150042","2016","jan","American Economic Association","8","1","224--256","Stefano DellaVigna and Ruben Durante and Brian Knight and Eliana La Ferrara","Market-Based Lobbying: Evidence from Advertising Spending in Italy","American Economic Journal: Applied Economics","DellaVigna_2016","article"
"63","10.1257/app.20150043","https://doi.org/10.1257%2Fapp.20150043","2017","jan","American Economic Association","9","1","165--201","Jennifer L. Doleac","The Effects of {DNA} Databases on Crime","American Economic Journal: Applied Economics","Doleac_2017","article"
"64","10.1257/app.20150158","https://doi.org/10.1257%2Fapp.20150158","2016","jul","American Economic Association","8","3","31--68","David H. Autor and Mark Duggan and Kyle Greenberg and David S. Lyle","The Impact of Disability Benefits on Labor Supply: Evidence from the {VA}{\textquotesingle}s Disability Compensation Program","American Economic Journal: Applied Economics","Autor_2016","article"
"65","10.1257/app.20150373","https://doi.org/10.1257%2Fapp.20150373","2016","oct","American Economic Association","8","4","189--221","Duncan S. Gilchrist","Patents as a Spur to Subsequent Innovation? Evidence from Pharmaceuticals","American Economic Journal: Applied Economics","Gilchrist_2016","article"
"66","10.1257/app.20150385","https://doi.org/10.1257%2Fapp.20150385","2017","jul","American Economic Association","9","3","295--320","Julian Cristia and Pablo Ibarrar{\'{a}}n and Santiago Cueto and Ana Santiago and Eugenio Sever{\'{\i}}n","Technology and Child Development: Evidence from the One Laptop per Child Program","American Economic Journal: Applied Economics","Cristia_2017","article"
"67","10.1257/app.20150390","https://doi.org/10.1257%2Fapp.20150390","2017","oct","American Economic Association","9","4","303--337","Rukmini Banerji and James Berry and Marc Shotland","The Impact of Maternal Literacy and Participation Programs: Evidence from a Randomized Evaluation in India","American Economic Journal: Applied Economics","Banerji_2017","article"
"68","10.1257/app.20150509","https://doi.org/10.1257%2Fapp.20150509","2017","jan","American Economic Association","9","1","274--314","Lucie Gadenne","Tax Me, but Spend Wisely? Sources of Public Finance and Government Accountability","American Economic Journal: Applied Economics","Gadenne_2017","article"
"69","10.1257/app.20150530","https://doi.org/10.1257%2Fapp.20150530","2017","jul","American Economic Association","9","3","124--151","Scott Carrell and Bruce Sacerdote","Why Do College-Going Interventions Work?","American Economic Journal: Applied Economics","Carrell_2017","article"
"70","10.1257/app.20160140","https://doi.org/10.1257%2Fapp.20160140","2017","jan","American Economic Association","9","1","202--228","Gianmarco Le{\'{o}}n and Edward Miguel","Risky Transportation Choices and the Value of a Statistical Life","American Economic Journal: Applied Economics","Le_n_2017","article"
"71","10.1257/app.20160247","https://doi.org/10.1257%2Fapp.20160247","2017","oct","American Economic Association","9","4","58--77","Shuo Chen and Xiaohuan Lan","There Will Be Killing: Collectivization and Death of Draft Animals","American Economic Journal: Applied Economics","Chen_2017","article"
"72","10.1257/app.20160634","https://doi.org/10.1257%2Fapp.20160634","2018","jan","American Economic Association","10","1","175--206","Atila Abdulkadiro{\u{g}}lu and Parag A. Pathak and Christopher R. Walters","Free to Choose: Can School Choice Reduce Student Achievement?","American Economic Journal: Applied Economics","Abdulkadiro_lu_2018","article"
"73","10.1257/mac.20120008","https://doi.org/10.1257%2Fmac.20120008","2015","apr","American Economic Association","7","2","181--218","Ariel Burstein and Javier Cravino","Measured Aggregate Gains from International Trade","American Economic Journal: Macroeconomics","Burstein_2015","article"
"74","10.1257/mac.20140095","https://doi.org/10.1257%2Fmac.20140095","2016","jul","American Economic Association","8","3","175--194","Fredrik Wulfsberg","Inflation and Price Adjustments: Micro Evidence from Norwegian Consumer Prices 1975{\textendash}2004","American Economic Journal: Macroeconomics","Wulfsberg_2016","article"
"75","10.1257/mac.20140002","https://doi.org/10.1257%2Fmac.20140002","2015","jan","American Economic Association","7","1","1--43","Alo{\'{\i}}sio Ara{\'{u}}jo and Susan Schommer and Michael Woodford","Conventional and Unconventional Monetary Policy with Endogenous Collateral Constraints","American Economic Journal: Macroeconomics","Ara_jo_2015","article"
"76","10.1257/mac.20140043","https://doi.org/10.1257%2Fmac.20140043","2016","jan","American Economic Association","8","1","98--118","Josef Schroth","Optimal Intermediary Rents","American Economic Journal: Macroeconomics","Schroth_2016","article"
"77","10.1257/mac.20140064","https://doi.org/10.1257%2Fmac.20140064","2017","apr","American Economic Association","9","2","1--31","Pawel Krolikowski","Job Ladders and Earnings of Displaced Workers","American Economic Journal: Macroeconomics","Krolikowski_2017","article"
"78","10.1257/mac.20140084","https://doi.org/10.1257%2Fmac.20140084","2017","apr","American Economic Association","9","2","32--72","Galo Nu{\~{n}}o and Carlos Thomas","Bank Leverage Cycles","American Economic Journal: Macroeconomics","Nu_o_2017","article"
"79","10.1257/mac.20150359","https://doi.org/10.1257%2Fmac.20150359","2017","oct","American Economic Association","9","4","122--152","Mario Forni and Luca Gambetti and Marco Lippi and Luca Sala","Noisy News in Business Cycles","American Economic Journal: Macroeconomics","Forni_2017","article"
"80","10.1257/mac.6.3.1","https://doi.org/10.1257%2Fmac.6.3.1","2014","jul","American Economic Association","6","3","1--28","Areendam Chanda and C. Justin Cook and Louis Putterman","Persistence of Fortune: Accounting for Population Movements, There Was No Post-Columbian Reversal","American Economic Journal: Macroeconomics","Chanda_2014","article"
"81","10.1257/mac.6.2.137","https://doi.org/10.1257%2Fmac.6.2.137","2014","apr","American Economic Association","6","2","137--155","Martin Eichenbaum and Nir Jaimovich and Sergio Rebelo and Josephine Smith","How Frequent Are Small Price Changes?","American Economic Journal: Macroeconomics","Eichenbaum_2014","article"
"82","10.1257/mac.6.2.156","https://doi.org/10.1257%2Fmac.6.2.156","2014","apr","American Economic Association","6","2","156--206","Etienne Gagnon and Benjamin R. Mandel and Robert J. Vigfusson","Missing Import Price Changes and Low Exchange Rate Pass-Through","American Economic Journal: Macroeconomics","Gagnon_2014","article"
"83","10.1257/mac.6.2.207","https://doi.org/10.1257%2Fmac.6.2.207","2014","apr","American Economic Association","6","2","207--237","Valery Charnavoki and Juan J. Dolado","The Effects of Global Shocks on Small Commodity-Exporting Economies: Lessons from Canada","American Economic Journal: Macroeconomics","Charnavoki_2014","article"
"84","10.1257/mac.6.1.134","https://doi.org/10.1257%2Fmac.6.1.134","2014","jan","American Economic Association","6","1","134--161","Volker Tjaden and Felix Wellschmied","Quantifying the Contribution of Search to Wage Inequality","American Economic Journal: Macroeconomics","Tjaden_2014","article"
"85","10.1257/mac.6.1.190","https://doi.org/10.1257%2Fmac.6.1.190","2014","jan","American Economic Association","6","1","190--217","Pascal Michaillat","A Theory of Countercyclical Government Multiplier","American Economic Journal: Macroeconomics","Michaillat_2014","article"
"86","10.1257/mac.5.2.32","https://doi.org/10.1257%2Fmac.5.2.32","2013","apr","American Economic Association","5","2","32--71","Ariel Burstein and Javier Cravino and Jonathan Vogel","Importing Skill-Biased Technology","American Economic Journal: Macroeconomics","Burstein_2013","article"
"87","10.1257/app.20150076","https://doi.org/10.1257%2Fapp.20150076","2016","jul","American Economic Association","8","3","1--30","Veronica Grembi and Tommaso Nannicini and Ugo Troiano","Do Fiscal Rules Matter?","American Economic Journal: Applied Economics","Grembi_2016","article"
"88","10.1257/app.20150476","https://doi.org/10.1257%2Fapp.20150476","2016","oct","American Economic Association","8","4","128--159","David Simon","Does Early Life Exposure to Cigarette Smoke Permanently Harm Childhood Welfare? Evidence from Cigarette Tax Hikes","American Economic Journal: Applied Economics","Simon_2016","article"
"89","10.1257/app.20150532","https://doi.org/10.1257%2Fapp.20150532","2017","oct","American Economic Association","9","4","105--136","Rudi Rocha and Claudio Ferraz and Rodrigo R. Soares","Human Capital Persistence and Development","American Economic Journal: Applied Economics","Rocha_2017","article"
"90","10.1257/app.20150540","https://doi.org/10.1257%2Fapp.20150540","2017","oct","American Economic Association","9","4","250--302","Vittorio Bassi and Imran Rasul","Persuasion: A Case Study of Papal Influences on Fertility-Related Beliefs and Behavior","American Economic Journal: Applied Economics","Bassi_2017","article"
"91","10.1257/app.20160089","https://doi.org/10.1257%2Fapp.20160089","2018","jan","American Economic Association","10","1","150--174","Ruben Enikolopov and Maria Petrova and Konstantin Sonin","Social Media and Corruption","American Economic Journal: Applied Economics","Enikolopov_2018","article"
"92","10.1257/app.20160278","https://doi.org/10.1257%2Fapp.20160278","2018","jan","American Economic Association","10","1","64--105","Bilge Erten and Pinar Keskin","For Better or for Worse?: Education and the Prevalence of Domestic Violence in Turkey","American Economic Journal: Applied Economics","Erten_2018","article"
"93","10.1257/app.20160307","https://doi.org/10.1257%2Fapp.20160307","2018","apr","American Economic Association","10","2","202--233","Tatyana Deryugina and Laura Kawano and Steven Levitt","The Economic Impact of Hurricane Katrina on Its Victims: Evidence from Individual Tax Returns","American Economic Journal: Applied Economics","Deryugina_2018","article"
"94","10.1257/mac.20120151","https://doi.org/10.1257%2Fmac.20120151","2016","oct","American Economic Association","8","4","103--141","Thomas Hintermaier and Winfried Koeniger","Debt Portfolios and Homestead Exemptions","American Economic Journal: Macroeconomics","Hintermaier_2016","article"
"95","10.1257/mac.20120222","https://doi.org/10.1257%2Fmac.20120222","2015","apr","American Economic Association","7","2","95--123","Daniel L. Hicks","Consumption Volatility, Marketization, and Expenditure in an Emerging Market Economy","American Economic Journal: Macroeconomics","Hicks_2015","article"
"96","10.1257/mac.20130306","https://doi.org/10.1257%2Fmac.20130306","2015","jan","American Economic Association","7","1","197--232","Olivier Coibion and Yuriy Gorodnichenko","Is the Phillips Curve Alive and Well after All? Inflation Expectations and the Missing Disinflation","American Economic Journal: Macroeconomics","Coibion_2015","article"
"97","10.1257/mac.20130324","https://doi.org/10.1257%2Fmac.20130324","2015","jan","American Economic Association","7","1","77--109","Simon Gilchrist and David L{\'{o}}pez-Salido and Egon Zakraj{\v{s}}ek","Monetary Policy and Real Borrowing Costs at the Zero Lower Bound","American Economic Journal: Macroeconomics","Gilchrist_2015","article"
"98","10.1257/mac.20140003","https://doi.org/10.1257%2Fmac.20140003","2015","jan","American Economic Association","7","1","233--257","Jordi Gal{\'{\i}} and Luca Gambetti","The Effects of Monetary Policy on Stock Market Bubbles: Some Evidence","American Economic Journal: Macroeconomics","Gal__2015","article"
"99","10.1257/mac.20140093","https://doi.org/10.1257%2Fmac.20140093","2017","jan","American Economic Association","9","1","128--164","Klaus Adam and Michael Grill","Optimal Sovereign Default","American Economic Journal: Macroeconomics","Adam_2017","article"
"100","10.1257/mac.20150117","https://doi.org/10.1257%2Fmac.20150117","2016","jul","American Economic Association","8","3","145--174","Todd Schoellman","Early Childhood Human Capital and Development","American Economic Journal: Macroeconomics","Schoellman_2016","article"
"101","10.1257/mac.20150218","https://doi.org/10.1257%2Fmac.20150218","2017","apr","American Economic Association","9","2","228--255","Mary Eschelbach Hansen and Nicolas L. Ziebarth","Credit Relationships and Business Bankruptcy during the Great Depression","American Economic Journal: Macroeconomics","Hansen_2017","article"
"102","10.1257/mac.20140016","https://doi.org/10.1257%2Fmac.20140016","2016","apr","American Economic Association","8","2","111--136","Masazumi Hattori and Andreas Schrimpf and Vladyslav Sushko","The Response of Tail Risk Perceptions to Unconventional Monetary Policy","American Economic Journal: Macroeconomics","Hattori_2016","article"
